Date of data Extraction,Brand,Product name,Category,Pack size,Serving size,Servings per pack,Product code,Energy per 100g (or 100ml),Protein per 100g (or 100ml),Total fat per 100g (or 100ml),Saturated fat per 100g (or 100ml),Carbohydrate per 100g (or 100ml),Sugars per 100g (or 100ml),Sodium per 100g (or 100ml),Original Price,Price Promoted,Price Promoted Price,Multi Buy Special,Multi Buy Special Details,Multi Buy Price,UID
2018-08-15 06:09:57 UTC,Australia's Own,Diamond pro+ Step 3 Premium Toddler Milk 12+ months,Baby,900g,Approx 200 mL (1 serve),34,3264483P,253 kJ,2.6 g,2.6 g,,6.3 g,,22 mg,28,TRUE,22.4,FALSE,,,1534277397.0-C-8521
2018-08-15 06:09:57 UTC,Aptamil,Gold+ 1 Infant Formula from birth to 6 months,Baby,900g,,,6763800P,,,,,,,,24.8,FALSE,24.8,FALSE,,,1534277397.0-C-8543
2018-08-15 06:09:57 UTC,Only Organic,Coconut Banana & Acai Smoothie,Baby,100g,,,2134256P,,,,,,,,2.7,TRUE,1.89,FALSE,,,1534277397.0-C-8570
2018-08-15 06:09:57 UTC,Nestle,CERELAC Rice Infant Cereal 4m +,Baby,200g,,,7760476P,,,,,,,,4.6,FALSE,4.6,FALSE,,,1534277397.0-C-8580
2018-08-15 06:09:57 UTC,Only Organic,Mango & Yoghurt Brekkie Baby Food Pouch 9+ Months,Baby,120g,,,2134336P,,,,,,,,2,TRUE,1.4,FALSE,,,1534277397.0-C-8594
2018-08-15 06:09:57 UTC,Coles,4m+ Pouch Apple Pear & Cinnamon,Baby,120g,120g,1,2762667P,223,LESS THAN 1g,LESS THAN 1g,,12.5,10.4,3,1.5,FALSE,1.5,FALSE,,,1534277397.0-C-8599
2018-08-15 06:09:57 UTC,Nestle,NAN SUPREME Stage 3 12 Months+,Baby,800g,,,2827933P,,,,,,,,21.99,FALSE,21.99,FALSE,,,1534277397.0-C-8615
2018-08-15 06:09:57 UTC,Annabel Karmel,Apricot Chickpea Puree,Baby,270g,,,2821992P,,,,,,,,6,FALSE,6,FALSE,,,1534277397.0-C-8617
2018-08-15 06:09:57 UTC,Annabel Karmel,Beef Kale Puree,Baby,270g,,,2821981P,,,,,,,,6,FALSE,6,FALSE,,,1534277397.0-C-8638
2018-08-15 06:09:57 UTC,Bellamy's,Organic Banana & Apple Porridge,Baby,120g,120,1,2153352P,281kJ,1.2g,0.5g,0.1g,13.5g,4.4g,2mg,2,FALSE,2,TRUE,3,1.66,1534277397.0-C-8639
2018-08-15 06:09:57 UTC,Heinz,Pureed Pear & Banana 4+ Months Glass Jar,Baby,110g,110g,1,5774425P,,,,,,,,1,FALSE,1,FALSE,,,1534277397.0-C-8646
2018-08-15 06:09:57 UTC,Annabel Karmel,Frozen Pureed Lentil & Vegetable Blocks,Baby,270g,,,2346301P,,,,,,,,6,FALSE,6,FALSE,,,1534277397.0-C-8647
2018-08-15 06:09:57 UTC,Annabel Karmel,Frozen Pureed Salmon & Hoki with Orange,Baby,270g,,,2346287P,,,,,,,,6,FALSE,6,FALSE,,,1534277397.0-C-8648
2018-08-15 06:09:57 UTC,Annabel Karmel,Frozen Pureed Chicken Apple & Butternut Pumpkin Blocks,Baby,270g,,,2346298P,,,,,,,,6,FALSE,6,FALSE,,,1534277397.0-C-8649
2018-08-15 06:09:57 UTC,Annabel Karmel,Frozen My 1st Bolognese Pureed Blocks,Baby,270g,,,2346312P,,,,,,,,6,FALSE,6,FALSE,,,1534277397.0-C-8650
2018-08-15 06:09:57 UTC,Annabel Karmel,Mini Meatball & Veggie Rice,Baby,200g,,,2821970P,,,,,,,,4,FALSE,4,FALSE,,,1534277397.0-C-8658
2018-08-15 06:09:57 UTC,Annabel Karmel,Macaroni Cheese,Baby,200g,,,2821960P,,,,,,,,4,FALSE,4,FALSE,,,1534277397.0-C-8659
2018-08-15 06:09:57 UTC,Annabel Karmel,Yummy Beef Bangers & Mash,Baby,200g,,,3117026P,,,,,,,,4,FALSE,4,FALSE,,,1534277397.0-C-8660
2018-08-15 06:09:57 UTC,Annabel Karmel,Chicken And Sausage Paella,Baby,200g,,,3117015P,,,,,,,,4,FALSE,4,FALSE,,,1534277397.0-C-8661
2018-08-15 06:09:57 UTC,Annabel Karmel,6 Veggie Ravioli,Baby,200g,,,2821937P,,,,,,,,4,FALSE,4,FALSE,,,1534277397.0-C-8662
2018-08-15 06:09:57 UTC,Annabel Karmel,Frozen Classic Beef Lasagne,Baby,200g,200g,1,2313222P,527,6.2g,6.8g,3.6g,10.5g,2.7g,90mg,4,FALSE,4,FALSE,,,1534277397.0-C-8669
2018-08-15 06:09:57 UTC,Annabel Karmel,Frozen Chicken & Veggie Rice,Baby,200g,200g,1,2313266P,501,6.5g,2.5g,1.1g,17.5g,3.4g,90mg,4,FALSE,4,FALSE,,,1534277397.0-C-8670
2018-08-15 06:09:57 UTC,Annabel Karmel,Frozen Spaghetti & Meatballs,Baby,200g,200g,1,2313335P,492,6.2g,3.0g,1.0g,17.4g,3.5g,100mg,4,FALSE,4,FALSE,,,1534277397.0-C-8671
2018-08-15 06:09:57 UTC,Annabel Karmel,Frozen Bolognese Pasta Bake,Baby,200g,,,2313244P,,,,,,,,4,FALSE,4,FALSE,,,1534277397.0-C-8679
2018-08-15 06:09:57 UTC,Annabel Karmel,Frozen Veggie Pasta Bake,Baby,200g,200g,1,2313357P,446,5.0g,3.4g,1.6g,13.9g,4.2g,80mg,4,FALSE,4,FALSE,,,1534277397.0-C-8680
