Date of data Extraction,Brand,Product name,Category,Pack size,Serving size,Servings per pack,Product code,Energy per 100g (or 100ml),Protein per 100g (or 100ml),Total fat per 100g (or 100ml),Saturated fat per 100g (or 100ml),Carbohydrate per 100g (or 100ml),Sugars per 100g (or 100ml),Sodium per 100g (or 100ml),Original Price,Price Promoted,Price Promoted Price,Multi Buy Special,Multi Buy Special Details,Multi Buy Price,UID
2018-08-15 06:09:30 UTC,Abbotts Village,Gluten Free Rustic White,Bread & Bakery,500g,83g (2 slices),6,3216913P,1120kJ,4.1g,3.7g,0.3g,52.6g,2.3g,259mg,7,FALSE,7,FALSE,,,1534277370.0-C-723
2018-08-15 06:09:29 UTC,Abbott's Village,Country Grains,Bread & Bakery,800g,,,3237196P,1050kJ,8.9g,3.5g,0.5g,43.0g,3.3g,393mg,3.5,FALSE,3.5,FALSE,,,1534277369.0-C-525
2018-08-15 06:09:29 UTC,Abbott's Village,Harvest Seeds & Grains,Bread & Bakery,750g,84g,,7534885P,1180kJ,11.0g,5.2g,0.6g,42.9g,2.8g,400mg,3.5,FALSE,3.5,FALSE,,,1534277369.0-C-526
2018-08-15 06:09:29 UTC,Abbott's Village,Rustic White,Bread & Bakery,700g,,,3237185P,,,,,,,,3.5,FALSE,3.5,FALSE,,,1534277369.0-C-532
2018-08-15 06:09:29 UTC,Abbott's Village,Light Rye,Bread & Bakery,680g,76g,,7226023P,1040kJ,9.5g,2.4g,0.5g,42.3g,3.4g,360mg,3.5,FALSE,3.5,FALSE,,,1534277369.0-C-547
2018-08-15 06:09:30 UTC,Abbott's Village,Farmhouse Wholemeal,Bread & Bakery,750g,84g,,7226034P,987kJ,10.0g,2.7g,0.6g,38.4g,2.6g,348mg,3.5,FALSE,3.5,FALSE,,,1534277370.0-C-575
2018-08-15 06:09:29 UTC,Abbott's Village Bakery,Sensations Toasted Soy & Chickpea,Bread & Bakery,700g,,,3235066P,1110kJ,11.4g,4.5g,0.6g,42.6g,3.7g,400mg,4,TRUE,3.5,FALSE,,,1534277369.0-C-473
2018-08-15 06:09:29 UTC,Abbott's Village Bakery,Sensations Pumpkin & Sunflower Seeds,Bread & Bakery,750g,,,3235055P,990kJ,9.2g,2.2g,0.5g,41.3g,3.4g,400mg,4,TRUE,3.5,FALSE,,,1534277369.0-C-474
2018-08-15 06:09:29 UTC,Abbott's Village Bakery,Gluten Free Soy & Linseed Bread,Bread & Bakery,500g,83g (2 slices),6,2834247P,1140kJ,6.5g,6.6g,0.7g,43.5g,5.0g,364mg,7,FALSE,7,FALSE,,,1534277369.0-C-531
2018-08-15 06:09:29 UTC,Abbott's Village Bakery,Gluten Free Mixed Seeds,Bread & Bakery,500g,83g (2 slices),6,2834225P,1230kJ,6.3g,10.1g,1.1g,41.4g,4.2g,337mg,7,FALSE,7,FALSE,,,1534277369.0-C-548
