Date of data Extraction,Brand,Product name,Category,Pack size,Serving size,Servings per pack,Product code,Energy per 100g (or 100ml),Protein per 100g (or 100ml),Total fat per 100g (or 100ml),Saturated fat per 100g (or 100ml),Carbohydrate per 100g (or 100ml),Sugars per 100g (or 100ml),Sodium per 100g (or 100ml),Original Price,Price Promoted,Price Promoted Price,Multi Buy Special,Multi Buy Special Details,Multi Buy Price,UID
2018-08-15 05:50:09 UTC,Campbell's,V8 Orange Mango & Passionfruit Juice,Drinks,1.25L,250ml,5,1165367P,,0.2g,,,11.1g,10.2g,19mg,4.6,FALSE,4.6,FALSE,,,1534276209.0-C-160
2018-08-15 05:50:09 UTC,Preshafruit,Cold Pressed Pink Lady Apple Juice Chilled,Drinks,1L,250ml,4,8730947P,,,,,,,,5.49,FALSE,5.49,FALSE,,,1534276209.0-C-195
2018-08-15 05:50:09 UTC,Golden Circle,Orange Fruit Drink Box 250mL,Drinks,6 pack,250mL,1,384365P,200kJ,0.1g,0g,0g,11.2g,10.9g,1mg,3.8,TRUE,2.5,FALSE,,,1534276209.0-C-222
2018-08-15 05:50:09 UTC,Berri,Pulpy Orange Juice 100% Australian Grown Chilled,Drinks,2L,,,5211740P,,,,,,,,6,FALSE,6,FALSE,,,1534276209.0-C-223
2018-08-15 05:50:09 UTC,Campbell's,Pineapple Passion V8 Juice,Drinks,1.25L,,,2107901P,,,,,,,,4.6,FALSE,4.6,FALSE,,,1534276209.0-C-224
2018-08-15 05:50:09 UTC,Golden Circle,Sunshine Punch Fruit Drink Box 250mL,Drinks,6 pack,250mL,1,6910391P,221kJ,0.1g,0g,0g,12.6g,12.2g,5mg,3.8,TRUE,2.5,FALSE,,,1534276209.0-C-225
2018-08-15 05:50:09 UTC,Campbell's,V8 Tropical Juice Box 250mL,Drinks,3 pack,250mL,1,7945223P,198kJ,0.5g,0.2g,0.1g,10.6g,9.3g,10mg,3.8,FALSE,3.8,FALSE,,,1534276209.0-C-226
2018-08-15 05:50:09 UTC,Golden Circle,100% Tropical Juice No Added Sugar,Drinks,2L,200mL,10,5487558P,195kJ,0.2g,0.1g,0g,10.7g,9.2g,5mg,3,FALSE,3,FALSE,,,1534276209.0-C-230
2018-08-15 05:50:09 UTC,Berri,Pulp Free Orange Juice 100 % Australian Grown Chilled,Drinks,2L,,,8987954P,,,,,,,,6,FALSE,6,FALSE,,,1534276209.0-C-231
2018-08-15 05:50:09 UTC,Campbell's,Tropical V8 Juice,Drinks,1.25L,250mL,5,1165378P,,0.3g,,,9.9g,9.0g,16mg,4.6,FALSE,4.6,FALSE,,,1534276209.0-C-232
2018-08-15 05:50:09 UTC,Golden Circle,100% Pineapple & Orange Juice No Added Sugar,Drinks,2L,200mL,10,8147137P,200kJ,0.4g,0.1g,0g,11.0g,9.8g,8mg,3,FALSE,3,FALSE,,,1534276209.0-C-233
2018-08-15 05:50:09 UTC,Coles,Apple & Blackcurrant Fruit Drink Box 250mL,Drinks,6 Pack,250mL,1,2535563P,204,LESS THAN 1g,LESS THAN 1g,LESS THAN 1g,11.7,10.8,5,2,FALSE,2,FALSE,,,1534276209.0-C-234
2018-08-15 05:50:09 UTC,Pop Tops,Apple & Blackcurrant Fruit Drink 250mL,Drinks,6 pack,,,8147374P,,,,,,,,4.4,TRUE,3.5,FALSE,,,1534276209.0-C-235
2018-08-15 05:50:09 UTC,Coles,Apple Juice Box 250mL,Drinks,6 pack,250mL,1,2535654P,191,LESS THAN 1g,LESS THAN 1g,LESS THAN 1g,10.8,9.7,7,2.3,FALSE,2.3,FALSE,,,1534276209.0-C-236
2018-08-15 05:50:09 UTC,Oak,Strawberry Flavoured Milk,Drinks,300mL,,,7024040P,,,,,,,,0,FALSE,0,FALSE,,,1534276209.0-C-241
2018-08-15 05:50:09 UTC,Oak,Chocolate Flavoured Milk,Drinks,600mL,,,13079P,,,,,,,,2.95,FALSE,2.95,FALSE,,,1534276209.0-C-242
2018-08-15 05:50:09 UTC,Tempo,Smooth & Milky Iced Coffee Flavoured Milk,Drinks,500mL,,,7399247P,,,,,,,,2.98,FALSE,2.98,FALSE,,,1534276209.0-C-243
2018-08-15 06:09:35 UTC,Schweppes,Lemonade Mini 200mL Cans,Drinks,6 pack,,,2007510P,,,,,,,,5.3,FALSE,5.3,FALSE,,,1534277375.0-C-2173
2018-08-15 06:09:37 UTC,Dare,Double Espresso Flavoured Milk,Drinks,500mL,,,3033946P,,,,,,,,3.2,TRUE,2.5,FALSE,,,1534277377.0-C-2703
2018-08-15 06:09:37 UTC,Nudie,Nothing But 9 Veggies Fruity Goodness Juice Chilled,Drinks,1L,,,3063109P,,,,,,,,5,FALSE,5,FALSE,,,1534277377.0-C-2717
2018-08-15 06:09:37 UTC,Dare,Cold Pressed Coffee Latte Chilled,Drinks,300mL,300mL,1,2916830P,303kJ,3.3g,3.4g,2.2g,7.1g,6.2g,,3.15,FALSE,3.15,FALSE,,,1534277377.0-C-2738
2018-08-15 06:09:37 UTC,V,Guarana Energy Drink Fridge Pack,Drinks,10 pack,,,2894147P,,,,,,,,12,FALSE,12,FALSE,,,1534277377.0-C-2739
2018-08-15 06:09:37 UTC,Sprite,Lemonade Cans Soft Drink 24 pack,Drinks,375mL,375mL,24,7365904P,151kJ,0g,0g,0g,8.6g,8.6g,6.7mg,28.75,TRUE,11,FALSE,,,1534277377.0-C-2750
2018-08-15 06:09:37 UTC,Coca-Cola,Coke Zero Bottle Soft Drink,Drinks,1.25L,250mL,5,4919250P,1.4kJ,0.05g,0g,0g,0.1g,0g,11.0mg,2.85,FALSE,2.85,TRUE,2,2,1534277377.0-C-2798
2018-08-15 06:09:38 UTC,Voss,Still Spring Water,Drinks,800mL,,,1444586P,,,,,,,,5,FALSE,5,FALSE,,,1534277378.0-C-2966
2018-08-15 06:09:38 UTC,Charlie's,Fruit Fix Smoothie Spirulina,Drinks,300mL,300ml,1,7289227P,288kJ,0.8g,0.5g,0g,16.3g,15.6g,4mg,3.5,TRUE,3,FALSE,,,1534277378.0-C-2998
2018-08-15 06:09:38 UTC,Fruits & Roots,Pineapple Passionfruit Sweet Potato,Drinks,1.25L,,,3183530P,,,,,,,,5.5,FALSE,5.5,FALSE,,,1534277378.0-C-2999
2018-08-15 06:09:38 UTC,Coca-Cola,Diet Coke Caffeine Free Cans Soft Drink 10 pack,Drinks,375mL,,,1849282P,,,,,,,,12.3,FALSE,12.3,FALSE,,,1534277378.0-C-3000
2018-08-15 06:09:38 UTC,Fanta,Raspberry  Mini Cans Soft Drink 8 pack,Drinks,200mL,,,9882860P,,,,,,,,8.3,TRUE,6,FALSE,,,1534277378.0-C-3001
2018-08-15 06:09:38 UTC,Nexba,Naturally Sugar Free Raspberry Sparkling Infusion,Drinks,1L,,,3049301P,,,,,,,,3,FALSE,3,FALSE,,,1534277378.0-C-3002
2018-08-15 06:09:38 UTC,Schweppes,Pepsi Max Mini 200mL Cans,Drinks,6 pack,,,2007543P,,,,,,,,5.3,FALSE,5.3,FALSE,,,1534277378.0-C-3003
2018-08-15 06:09:38 UTC,Sunkist,Orange 200mL Mini Can Soft Drink,Drinks,6 pack,,,2508028P,,,,,,,,5.3,FALSE,5.3,FALSE,,,1534277378.0-C-3004
2018-08-15 06:09:38 UTC,ALT,Low Sugar Soft Drink Blood Orange & Citrus,Drinks,1L,,,3049072P,,,,,,,,2.3,TRUE,1.5,FALSE,,,1534277378.0-C-3005
2018-08-15 06:09:38 UTC,Bundaberg,Peach Brewed Drink Bottle 375mL,Drinks,4 pack,,,2777620P,,,,,,,,5.7,FALSE,5.7,FALSE,,,1534277378.0-C-3006
2018-08-15 06:09:38 UTC,Schweppes,Ginger Ale Mixers,Drinks,1.1L,,,3014817P,,,,,,,,2,FALSE,2,TRUE,2,1.5,1534277378.0-C-3015
2018-08-15 06:09:38 UTC,Lift,Hard Hitting Lemon Cans Soft Drink 10 pack,Drinks,375mL,,,2778215P,,,,,,,,12.3,FALSE,12.3,FALSE,,,1534277378.0-C-3017
2018-08-15 06:09:38 UTC,Kirks,Ginger Beer Bottle Soft Drink,Drinks,1.25L,,,5399188P,214kJ,0mL,0mL,0mL,12.5mL,,4.8mg,1.65,TRUE,1.3,FALSE,,,1534277378.0-C-3018
2018-08-15 06:09:38 UTC,Schweppes,Pepsi Max 300mL Glass  Soft Drink Bottles,Drinks,4 pack,,,2684246P,,,,,,,,5.25,TRUE,3.5,FALSE,,,1534277378.0-C-3019
2018-08-15 06:09:38 UTC,Sprite,Zero Lemonade Bottle Soft Drink,Drinks,2L,,,4389393P,,,,,,,,2.75,FALSE,2.75,FALSE,,,1534277378.0-C-3020
2018-08-15 06:09:38 UTC,ALT,Low Sugar Soft Drink Tropical Passionfruit,Drinks,1L,,,3049061P,,,,,,,,2.3,TRUE,1.5,FALSE,,,1534277378.0-C-3021
2018-08-15 06:09:38 UTC,ALT,Low Sugar Soft Drink Mixed Apple & Berry,Drinks,1L,,,3049050P,,,,,,,,2.3,TRUE,1.5,FALSE,,,1534277378.0-C-3022
2018-08-15 06:09:38 UTC,Coca-Cola,Coke Zero Chilled Bottle Soft Drink,Drinks,600mL,600 mL,1,4919158P,1.4kJ,0.05g,0g,0g,0.1g,0g,11.0mg,3.4,FALSE,3.4,FALSE,,,1534277378.0-C-3023
2018-08-15 06:09:38 UTC,Coca-Cola,Coke Raspberry Soft Drink,Drinks,1.25L,,,3119542P,,,,,,,,2.85,FALSE,2.85,TRUE,2,2,1534277378.0-C-3024
2018-08-15 06:09:38 UTC,Lift,Hard Hitting Lemon Soft Drink Bottle,Drinks,1.25L,,,2778157P,,,,,,,,2.85,FALSE,2.85,TRUE,2,2,1534277378.0-C-3033
2018-08-15 06:09:38 UTC,Solo,Lemon Mini 6 x 200ml Cans,Drinks,6 pack,,,2273285P,,,,,,,,5.3,FALSE,5.3,FALSE,,,1534277378.0-C-3034
2018-08-15 06:09:38 UTC,Sprite,Zero Mini Cans Soft Drink 8 pack,Drinks,200mL,,,1534168P,,,,,,,,8.3,TRUE,6,FALSE,,,1534277378.0-C-3035
2018-08-15 06:09:38 UTC,Coca-Cola,Classic Glass Bottle Soft Drink 4 pack,Drinks,330mL,,,6259413P,,,,,,,,7.85,FALSE,7.85,FALSE,,,1534277378.0-C-3036
2018-08-15 06:09:38 UTC,Coca-Cola,Vanilla Coke Mini Cans Soft Drink 8 pack,Drinks,200mL,,,2679891P,,,,,,,,8.3,TRUE,6,FALSE,,,1534277378.0-C-3037
2018-08-15 06:09:38 UTC,Fanta,Passionfruit Soft Drink,Drinks,1.25L,,,8881512P,,,,,,,,2.85,FALSE,2.85,TRUE,2,2,1534277378.0-C-3038
2018-08-15 06:09:38 UTC,Mountain Dew,375mL Cans Soft Drink,Drinks,10 pack,,,2684188P,,,,,,,,11.05,TRUE,5.52,FALSE,,,1534277378.0-C-3039
2018-08-15 06:09:38 UTC,Schweppes,Diet Pepsi Caffeine Free Soft Drink,Drinks,1.25L,,,5114390P,,,,,,,,2.2,TRUE,1.1,FALSE,,,1534277378.0-C-3040
2018-08-15 06:09:38 UTC,Kirks,Creaming Soda Bottle Soft Drink,Drinks,1.25L,,,5399075P,175.7kJ,0mL,0mL,0mL,10.2mL,,4.8mg,1.65,TRUE,1.3,FALSE,,,1534277378.0-C-3051
2018-08-15 06:09:38 UTC,Sprite,Lemonade Bottle Soft Drink,Drinks,2L,,,438894P,,,,,,,,2.75,FALSE,2.75,FALSE,,,1534277378.0-C-3052
2018-08-15 06:09:38 UTC,Schweppes,Sunkist Orange Crush 375mL Cans Soft Drink,Drinks,10 pack,,,2684202P,,,,,,,,11.05,TRUE,5.52,FALSE,,,1534277378.0-C-3053
2018-08-15 06:09:38 UTC,Schweppes,Lime Spider Traditional Soft Drink,Drinks,1.25L,,,2765472P,,,,,,,,2.2,FALSE,2.2,FALSE,,,1534277378.0-C-3054
2018-08-15 06:09:38 UTC,Solo,Lemon 10x375ml Cans,Drinks,10 pack,,,2684144P,,,,,,,,11.05,TRUE,5.52,FALSE,,,1534277378.0-C-3055
2018-08-15 06:09:38 UTC,Fanta,Orange  Mini Cans Soft Drink 8 pack,Drinks,200mL,,,7910025P,,,,,,,,8.3,TRUE,6,FALSE,,,1534277378.0-C-3056
2018-08-15 06:09:38 UTC,Schweppes,7Up Lemonade Soft Drink,Drinks,1.25L,,,5080798P,,,,,,,,2.2,TRUE,1.1,FALSE,,,1534277378.0-C-3057
2018-08-15 06:09:38 UTC,Sprite,Lemonade Cans Soft Drink 10 pack,Drinks,375mL,,,1849329P,,,,,,,,12.3,FALSE,12.3,FALSE,,,1534277378.0-C-3058
2018-08-15 06:09:38 UTC,Kirks,Ginger Beer Cans Soft Drink 10 pack,Drinks,375mL,,,8492033P,214kJ,0mL,0mL,0mL,12.5mL,,4.8mg,8.9,FALSE,8.9,FALSE,,,1534277378.0-C-3074
2018-08-15 06:09:38 UTC,Kirks,Sugar Free Lemon Cans Soft Drink 10 pack,Drinks,375mL,,,1181261P,4.2kJ,0.1mL,0mL,0mL,0mL,,19.7mg,8.9,FALSE,8.9,FALSE,,,1534277378.0-C-3075
2018-08-15 06:09:38 UTC,Kirks,Sugar Free Creaming Soda Cans Soft Drink 10 pack,Drinks,375mL,,,1181206P,2.4kJ,0.1mL,0mL,0mL,0mL,,14.2mg,8.9,FALSE,8.9,FALSE,,,1534277378.0-C-3076
2018-08-15 06:09:38 UTC,Schweppes,Sunkist Orange Crush Soft Drink,Drinks,2L,,,5042653P,,,,,,,,2,FALSE,2,FALSE,,,1534277378.0-C-3077
2018-08-15 06:09:38 UTC,Schweppes,Traditional Sarsaparilla Soft Drink,Drinks,1.25L,,,5827623P,,,,,,,,2.2,FALSE,2.2,FALSE,,,1534277378.0-C-3078
2018-08-15 06:09:38 UTC,Schweppes,Pepsi 375mL Cans Soft Drink,Drinks,10 pack,,,2684213P,,,,,,,,11.05,TRUE,5.52,FALSE,,,1534277378.0-C-3079
2018-08-15 06:09:38 UTC,Tru Blu,La Ice Cola Maxi Soft Drink,Drinks,2L,,,2506340P,,,,,,,,1.5,FALSE,1.5,FALSE,,,1534277378.0-C-3080
2018-08-15 06:09:38 UTC,Coca-Cola,Classic Bottles Soft Drink 12 pack,Drinks,300mL,,,7910342P,,,,,,,,14,FALSE,14,FALSE,,,1534277378.0-C-3081
2018-08-15 06:09:38 UTC,Fanta,Orange Cans Soft Drink 10 pack,Drinks,375mL,,,1849330P,,,,,,,,12.3,FALSE,12.3,FALSE,,,1534277378.0-C-3082
2018-08-15 06:09:38 UTC,Solo,Extreme Lemon Low Sugar Soft Drink,Drinks,1.25L,,,1167362P,,,,,,,,2.2,TRUE,1.1,FALSE,,,1534277378.0-C-3088
2018-08-15 06:09:38 UTC,Mountain Dew,Caffeinated Citrus Soft Drink,Drinks,1.25L,,,9855562P,,,,,,,,2.2,TRUE,1.1,FALSE,,,1534277378.0-C-3089
2018-08-15 06:09:38 UTC,Schweppes,Lemonade 375mL Cans Soft Drink,Drinks,10 pack,,,2684155P,,,,,,,,11.05,TRUE,5.52,FALSE,,,1534277378.0-C-3090
2018-08-15 06:09:38 UTC,Schweppes,Traditional Raspberry Soft Drink,Drinks,10 pack,,,2684199P,,,,,,,,11.05,TRUE,5.52,FALSE,,,1534277378.0-C-3091
2018-08-15 06:09:38 UTC,Coca-Cola,Coke No Sugar Cans Soft Drink 10 pack,Drinks,375mL,,,2993739P,,,,,,,,12.3,FALSE,12.3,FALSE,,,1534277378.0-C-3092
2018-08-15 06:09:38 UTC,Coles,Variety Pack Soft Drinks 375mL Cans,Drinks,24 pack,,,2608805P,,,,,,,,10,FALSE,10,FALSE,,,1534277378.0-C-3093
2018-08-15 06:09:38 UTC,Kirks,Pasito Bottle  Soft Drink,Drinks,1.25L,,,5399086P,192.8kJ,0mL,0mL,0mL,11.2mL,,5.2mg,1.65,TRUE,1.3,FALSE,,,1534277378.0-C-3094
2018-08-15 06:09:38 UTC,Coca-Cola,Classic Cans Soft Drink 10 pack,Drinks,375mL,,,1849307P,,,,,,,,12.3,FALSE,12.3,FALSE,,,1534277378.0-C-3095
2018-08-15 06:09:38 UTC,Fanta,Grape Bottle Soft Drink,Drinks,1.25L,,,1216537P,,,,,,,,2.85,FALSE,2.85,TRUE,2,2,1534277378.0-C-3096
2018-08-15 06:09:38 UTC,Kirks,Sugar Free Lemonade Cans Soft Drink 10 pack,Drinks,375mL,,,8492689P,2.5kJ,0.1mL,0mL,0mL,0mL,,19.5mg,8.9,FALSE,8.9,FALSE,,,1534277378.0-C-3097
2018-08-15 06:09:38 UTC,Que Cola,Soft Drink Cola Zero,Drinks,1.25L,,,3243563P,,,,,,,,0.75,FALSE,0.75,FALSE,,,1534277378.0-C-3098
2018-08-15 06:09:38 UTC,Schweppes,Pepsi Max Vanilla Soft Drink,Drinks,1.25L,,,2765494P,,,,,,,,2.2,TRUE,1.1,FALSE,,,1534277378.0-C-3099
2018-08-15 06:09:38 UTC,Schweppes,Pepsi Max Vanilla 375mL Cans Soft Drink,Drinks,10 pack,,,2887480P,,,,,,,,11.05,TRUE,5.52,FALSE,,,1534277378.0-C-3100
2018-08-15 06:09:38 UTC,Sunkist,Orange Crush Soft Drink,Drinks,1.25L,,,5037303P,,,,,,,,2.2,TRUE,1.1,FALSE,,,1534277378.0-C-3101
2018-08-15 06:09:38 UTC,Coca-Cola,Diet Coke Cans Soft Drink 10 pack,Drinks,375mL,,,1849318P,,,,,,,,12.3,FALSE,12.3,FALSE,,,1534277378.0-C-3102
2018-08-15 06:09:38 UTC,Coca-Cola,Coke No Sugar Bottle Soft Drink 12 pack,Drinks,300mL,,,1492374P,,,,,,,,14,FALSE,14,FALSE,,,1534277378.0-C-3103
2018-08-15 06:09:38 UTC,Kirks,Lemonade Bottle Soft Drink,Drinks,1.25L,,,5399166P,189.8kJ,0mL,0mL,0mL,11mL,,8.6mg,1.65,TRUE,1.3,FALSE,,,1534277378.0-C-3104
2018-08-15 06:09:38 UTC,Kirks,Sugar Free Lemonade Bottle Soft Drink,Drinks,1.25L,,,6111376P,2.5kJ,0.1mL,0mL,0mL,0mL,,19.5mg,1.65,TRUE,1.3,FALSE,,,1534277378.0-C-3105
2018-08-15 06:09:38 UTC,Schweppes,Pepsi Soft Drink,Drinks,1.25L,,,148205P,,,,,,,,2.2,TRUE,1.1,FALSE,,,1534277378.0-C-3106
2018-08-15 06:09:38 UTC,Sprite,Zero Cans Soft Drink 10 pack,Drinks,375mL,,,1849271P,,,,,,,,12.3,FALSE,12.3,FALSE,,,1534277378.0-C-3107
2018-08-15 06:09:38 UTC,Tru Blu,La Ice Cola Soft Drink,Drinks,2L,,,2506339P,,,,,,,,1.5,FALSE,1.5,FALSE,,,1534277378.0-C-3108
2018-08-15 06:09:38 UTC,Coca-Cola,Coke No Sugar Mini Cans Soft Drink 8 pack,Drinks,200mL,,,2993717P,,,,,,,,8.3,TRUE,6,FALSE,,,1534277378.0-C-3109
2018-08-15 06:09:38 UTC,Coles,Ginger Beer Soft Drink,Drinks,1.25L,250mL,5,2047810P,204,0.0g,0.0g,0.0g,12,11.6,12,0.75,FALSE,0.75,FALSE,,,1534277378.0-C-3110
2018-08-15 06:09:38 UTC,Schweppes,Sunkist Sugar Free Diet Orange Crush,Drinks,1.25L,,,5037358P,,,,,,,,2.2,TRUE,1.1,FALSE,,,1534277378.0-C-3111
2018-08-15 06:09:38 UTC,Schweppes,Pepsi Soft Drink,Drinks,2L,,,337310P,,,,,,,,2,FALSE,2,FALSE,,,1534277378.0-C-3112
2018-08-15 06:09:38 UTC,Schweppes,Traditional Raspberry Soft Drink,Drinks,1.25L,,,6643091P,,,,,,,,2.2,FALSE,2.2,FALSE,,,1534277378.0-C-3113
