Date of data Extraction,Brand,Product name,Category,Pack size,Serving size,Servings per pack,Product code,Energy per 100g (or 100ml),Protein per 100g (or 100ml),Total fat per 100g (or 100ml),Saturated fat per 100g (or 100ml),Carbohydrate per 100g (or 100ml),Sugars per 100g (or 100ml),Sodium per 100g (or 100ml),Original Price,Price Promoted,Price Promoted Price,Multi Buy Special,Multi Buy Special Details,Multi Buy Price,UID
2018-08-15 06:09:43 UTC,KB,Lager 375mL Cans,Liquor,24 pack,,,66327P,,,,,,,,0,FALSE,0,FALSE,,,1534277383.0-C-4759
2018-08-15 06:09:44 UTC,Berri Estates,Traditional Dry Red 5L Cask,Liquor,2 pack,,,14236P,,,,,,,,38,FALSE,38,FALSE,,,1534277384.0-C-4826
2018-08-15 06:09:44 UTC,Hahn,Premium Light 375mL Bottle,Liquor,6 pack,,,380706P,,,,,,,,16.5,FALSE,16.5,FALSE,,,1534277384.0-C-4827
2018-08-15 06:09:44 UTC,Furphy,Refreshing Ale Bottle 6 pack,Liquor,6 pack,,,2226150P,,,,,,,,16,FALSE,16,FALSE,,,1534277384.0-C-4828
2018-08-15 06:09:44 UTC,Budweiser,355mL Bottles,Liquor,24 pack,,,83560P,,,,,,,,55,FALSE,55,FALSE,,,1534277384.0-C-4889
2018-08-15 06:09:44 UTC,De Bortoli,Windy Peak Pinot Noir,Liquor,750mL,,,195430P,,,,,,,,15,TRUE,10,FALSE,,,1534277384.0-C-4903
2018-08-15 06:09:44 UTC,XXXX,Gold 375mL Stubbies,Liquor,6 pack,,,216685P,,,,,,,,17,FALSE,17,FALSE,,,1534277384.0-C-4916
2018-08-15 06:09:44 UTC,Tooheys,New,Liquor,12 pack,,,36474P,,,,,,,,0,FALSE,0,FALSE,,,1534277384.0-C-4917
2018-08-15 06:09:44 UTC,Wolf Blass,Altitude Shiraz,Liquor,750mL,,,2719828P,,,,,,,,20,FALSE,20,FALSE,,,1534277384.0-C-4960
2018-08-15 06:09:44 UTC,Evans & Tate,Cabernet Merlot,Liquor,750mL,,,1516406P,,,,,,,,15,FALSE,15,FALSE,,,1534277384.0-C-4966
2018-08-15 06:09:44 UTC,Wine Bundle Buys,St Andrews Six,Liquor,1 each,,,3121930P,,,,,,,,25,FALSE,25,FALSE,,,1534277384.0-C-4968
2018-08-15 06:09:44 UTC,Wine Bundle Buys,Super Shiraz Six,Liquor,1 each,,,3121974P,,,,,,,,59,FALSE,59,FALSE,,,1534277384.0-C-4969
2018-08-15 06:09:44 UTC,Wolf Blass,Shiraz,Liquor,750mL,,,208550P,,,,,,,,13,FALSE,13,FALSE,,,1534277384.0-C-4970
2018-08-15 06:09:44 UTC,Wolf Blass,Cabernet Sauvignon,Liquor,750mL,,,18661P,,,,,,,,13,FALSE,13,FALSE,,,1534277384.0-C-4971
2018-08-15 06:09:44 UTC,Thorn-Clarke,Shotfire Quartage,Liquor,750mL,,,515733P,,,,,,,,28,FALSE,28,FALSE,,,1534277384.0-C-4981
