Date of data Extraction,Brand,Product name,Category,Pack size,Serving size,Servings per pack,Product code,Energy per 100g (or 100ml),Protein per 100g (or 100ml),Total fat per 100g (or 100ml),Saturated fat per 100g (or 100ml),Carbohydrate per 100g (or 100ml),Sugars per 100g (or 100ml),Sodium per 100g (or 100ml),Original Price,Price Promoted,Price Promoted Price,Multi Buy Special,Multi Buy Special Details,Multi Buy Price,UID
2018-08-15 06:09:38 UTC,a2 platinum,A2 Platinum Follow-on Formula Stage 2 6-12mnths,Baby,900g,g,,,,,,,,,,0,FALSE,0,FALSE,,,1534277378.0-W-632
2018-08-15 06:09:39 UTC,a2 platinum,A2 Platinum Premium Junior Milk Drink Stage 4 From 3 Years+,Baby,900g,220mL,25,,309kJ,3.8g,3.0g,2.0g,7.5g,7.1g,36mg,29,FALSE,29,FALSE,,,1534277379.0-W-719
2018-08-15 06:09:39 UTC,annabel karmel,Annabel Karmel Bolognese Pasta Bake,Baby,200g,200g,1,,517kj,6.4g,6g,2.5g,12.6g,3.8g,91mg,4,FALSE,4,FALSE,,,1534277379.0-W-749
2018-08-15 06:09:39 UTC,annabel karmel,Annabel Karmel Spaghetti & Meatballs ,Baby,200g,,1,,395kj,4.8g,,,,3.7g,,4,FALSE,4,FALSE,,,1534277379.0-W-750
2018-08-15 06:09:39 UTC,annabel karmel,Annabel Karmel Veggie Pasta Bake,Baby,200g,200g,1,,404kj,4.7g,2.9g,1.4g,13.8g,4.3g,78mg,4,FALSE,4,FALSE,,,1534277379.0-W-752
2018-08-15 06:09:39 UTC,annabel karmel,Annabel Karmel Mummy's Favourite Fish Pie,Baby,200g,g,,,,,,,,,,4,FALSE,4,FALSE,,,1534277379.0-W-753
2018-08-15 06:09:39 UTC,annabel karmel,Annabel Karmel Chicken Sausage Paella,Baby,200g,g,,,,,,,,,,4,FALSE,4,FALSE,,,1534277379.0-W-754
2018-08-15 06:09:39 UTC,annabel karmel,Annabel Karmel Beef Bangers & Mash,Baby,200g,g,,,,,,,,,,4,FALSE,4,FALSE,,,1534277379.0-W-755
2018-08-15 06:09:39 UTC,annabel karmel,Annabel Karmel Chicken & Pumpkin Risotto,Baby,200g,200g,1,,323kj,3.5g,1.6g,0.6g,12.7g,2.8g,118mg,4,FALSE,4,FALSE,,,1534277379.0-W-756
2018-08-15 06:09:39 UTC,annabel karmel,Annabel Karmel Mac & Cheese Pasta,Baby,200g,200g,1,,524kj,5.5g,6.6g,4.2g,11.2g,0.7g,104mg,4,FALSE,4,FALSE,,,1534277379.0-W-757
2018-08-15 06:09:39 UTC,annabel karmel,Annabel Karmel Chicken & Veggie Rice,Baby,200g,200g,1,,451kj,4.1g,1.7g,0.7g,19.4g,4.3g,97mg,4,FALSE,4,FALSE,,,1534277379.0-W-761
2018-08-15 06:09:39 UTC,annabel karmel,Annabel Karmel 6 Veggie Ravioli,Baby,200g,200g,1,,378kj,4g,2.7g,1.1g,13.8g,3.9g,103mg,4,FALSE,4,FALSE,,,1534277379.0-W-766
2018-08-15 06:09:39 UTC,annabel karmel,Annabel Karmel Cottage Pie ,Baby,200g,200g,1,,370kj,4.4g,4.3g,1.6g,8.5g,2.5g,92mg,4,FALSE,4,FALSE,,,1534277379.0-W-767
