Date of data Extraction,Brand,Product name,Category,Pack size,Serving size,Servings per pack,Product code,Energy per 100g (or 100ml),Protein per 100g (or 100ml),Total fat per 100g (or 100ml),Saturated fat per 100g (or 100ml),Carbohydrate per 100g (or 100ml),Sugars per 100g (or 100ml),Sodium per 100g (or 100ml),Original Price,Price Promoted,Price Promoted Price,Multi Buy Special,Multi Buy Special Details,Multi Buy Price,UID
2018-08-15 09:49:38 UTC,Tip Top ,9 Grain Tip Top Plus Wholemeal,Bakery,750g,79g (2 Slices),9.5,,1040kJ,12.4g,6.4g,0.7g,30.6g,1.9g,370mg,3.3,TRUE,3.2,FALSE,,,1534290578.0-W-12824
2018-08-15 09:49:38 UTC,Tip Top ,9 Grain Tip Top Pumpkin Seed,Bakery,700g,74g (2 slices),9.5,,1100kJ,13.8g,6.4g,1.0g,33.7g,2.1g,400mg,3.3,TRUE,3.2,FALSE,,,1534290578.0-W-12842
2018-08-15 09:49:38 UTC,Tip Top ,9 Grain Tip Top Bread Original,Bakery,700g,74g (2 slices),9.5(17 slices + c crusts),,1040kJ,12.1g,5.0g,0.6g,35.1g,2.2g,400mg,3.3,TRUE,3.2,FALSE,,,1534290578.0-W-12843
2018-08-15 09:49:38 UTC,abbott's,Abbott's Village Bakery Bread Country Grains,Bakery,800g,g,,,,,,,,,,5.39,TRUE,3.5,FALSE,,,1534290578.0-W-12803
2018-08-15 09:49:38 UTC,abbott's,Abbott's Village Bakery Bread Rustic White,Bakery,700g,g,,,,,,,,,,5.39,TRUE,3.5,FALSE,,,1534290578.0-W-12821
2018-08-15 08:09:45 UTC,abbotts village bakery,Abbotts Village Bakery Gluten Free Mixed Seeds,Bakery,500g,83g (2 slices),6,,1230kJ,6.3g,10.1g,1.1g,41.4g,4.2g,337mg,6.99,FALSE,6.99,FALSE,,,1534284585.0-W-6620
2018-08-15 08:09:45 UTC,abbotts village bakery,Abbotts Village Bakery Gluten Free Soy & Linseed,Bakery,500g,83g (2slices),6,,1140kJ,6.5g,6.6g,0.7g,43.5g,5.0g,364mg,6.99,FALSE,6.99,FALSE,,,1534284585.0-W-6621
2018-08-15 08:09:45 UTC,abbott's village bakery,Abbott's Village Bakery Gluten Free Rustic White,Bakery,500g,g,,,,,,,,,,6.99,FALSE,6.99,FALSE,,,1534284585.0-W-6624
2018-08-15 09:49:38 UTC,abbott's village bakery,Abbott's Village Bakery Light Rye Bread,Bakery,680g,76g (2 slices),9(16 slices + 2 crusts),,1030kJ,9.7g,3.0g,0.5g,42.1g,2.8g,360mg,5.39,TRUE,3.5,FALSE,,,1534290578.0-W-12790
2018-08-15 09:49:38 UTC,abbott's village bakery,Abbott's Village Bakery Farmhouse Wholemeal Bread,Bakery,750g,84g (2 slices),9(16 slices + 2 crusts),,987kJ,8.7g,2.9g,0.5g,40.0g,3.6g,348mg,5.39,TRUE,3.5,FALSE,,,1534290578.0-W-12809
2018-08-15 09:49:38 UTC,abbott's village bakery,Abbott's Village Bakery Harvest Seeds & Grains Bread,Bakery,750g,84g (2 slices),9(16 slices + 2 crusts),,1090kJ,9.0g,4.8g,0.6g,42.9g,3.0g,400mg,5.39,TRUE,3.5,FALSE,,,1534290578.0-W-12810
2018-08-15 09:49:38 UTC,abbott's village bakery,Abbott's Village Bakery Sundried Tomato & Basil,Bakery,750g,g,,,,,,,,,,4,FALSE,4,FALSE,,,1534290578.0-W-12811
2018-08-15 09:49:38 UTC,abbott's village bakery,Abbott's Village Bakery Toasted Soy Chickpea & Quinoa,Bakery,750g,g,,,,,,,,,,4,FALSE,4,FALSE,,,1534290578.0-W-12816
2018-08-15 09:49:38 UTC,abbott's village bakery,Abbott's Village Bakery Pumpkin Sunflower Seed & Caramelised Onion,Bakery,750g,g,,,,,,,,,,4,FALSE,4,FALSE,,,1534290578.0-W-12819
2018-08-15 08:09:46 UTC,abes,Abes Blueberry Bagels ,Bakery,4 pack,,,,,,,,,,,4.99,FALSE,4.99,FALSE,,,1534284586.0-W-6684
2018-08-15 08:09:46 UTC,abes,Abes Real Bagels Parmesan,Bakery,4 pack,,,,,,,,,,,4.99,FALSE,4.99,FALSE,,,1534284586.0-W-6687
2018-08-15 08:09:46 UTC,abe's bagel bakery,Abe's Bagel Bakery Multigrain Bagels,Bakery,360g 4pk,90g (1 bagel),4,,1100kJ,11.5g,1.5g,0.3g,0mg,6.5g,390mg,4.99,FALSE,4.99,FALSE,,,1534284586.0-W-6683
2018-08-15 08:09:46 UTC,abe's bagel bakery,Abe's Bagel Bakery Sesame Seed Bagels,Bakery,360g 4pk,g,,,,,,,,,,4.99,FALSE,4.99,FALSE,,,1534284586.0-W-6686
