Date of data Extraction,Brand,Product name,Category,Pack size,Serving size,Servings per pack,Product code,Energy per 100g (or 100ml),Protein per 100g (or 100ml),Total fat per 100g (or 100ml),Saturated fat per 100g (or 100ml),Carbohydrate per 100g (or 100ml),Sugars per 100g (or 100ml),Sodium per 100g (or 100ml),Original Price,Price Promoted,Price Promoted Price,Multi Buy Special,Multi Buy Special Details,Multi Buy Price,UID
2018-08-15 06:29:40 UTC,oak,Oak Chocolate Flavoured Milk,Drinks,3x250ml,250mL,1,,360kJ,3.6g,2.0g,1.3g,13.0g,12.2g,57mg,4.5,FALSE,4.5,FALSE,,,1534278580.0-W-1237
2018-08-15 06:29:40 UTC,ovaltine,Ovaltine Chocolate Light Break Energy Drink,Drinks,400g,20g,20,,167kJ,1.2g,0.7g,0.6g,6.8g,4.5g,77mg,7,FALSE,7,FALSE,,,1534278580.0-W-1238
2018-08-15 06:29:40 UTC,sustagen,Sustagen Dutch Chocolate ,Drinks,400g,15g,26,,1620kJ,19.2g,1.4g,0.9g,73g,54g,240mg,7.5,FALSE,7.5,FALSE,,,1534278580.0-W-1239
2018-08-15 06:29:40 UTC,homebrand,Homebrand Instant Chocolate Powdered Drink,Drinks,400g,100g,26,,Approx. 1600kJ,Approx. 4g,Approx. 2g,Approx. 1.3g,Approx. 83.6g,Approx. 81.4g,Approx. 8mg,2.99,FALSE,2.99,FALSE,,,1534278580.0-W-1240
2018-08-15 06:29:40 UTC,nestle,Nestle Malted Milk ,Drinks,500g,20g,25,,"1770kJ, Per 100mL as prepared: 295kJ","11.0g, Per 100mL as prepared: 4.4g","9.0g, Per 100mL as prepared: 0.91g","4.5g, Per 100mL as prepared: 0.5g","7.3g, Per 100mL as prepared: 11.3g","42.7g, Per 100mL as prepared: 8.4g","230mg, Per 100mL as prepared: 66mg",9.5,FALSE,9.5,FALSE,,,1534278580.0-W-1241
2018-08-15 06:29:40 UTC,sipahh,Sipahh Variety Pack Milk Straws,Drinks,5x18g,3.5g (1 Straw),5,,1630kJ,1.2g,0.6g,0.3g,93g,52g,31mg,2.2,TRUE,1.1,FALSE,,,1534278580.0-W-1242
2018-08-15 06:29:40 UTC,nestle,Nestle Milo Ready To Drink,Drinks,6 pack,,,,,,,,,,,8,FALSE,8,FALSE,,,1534278580.0-W-1243
2018-08-15 06:29:40 UTC,sustagen,Sustagen French Vanilla ,Drinks,400g,15g,26,,1590kJ,19.3g,.05g,0.3g,73g,52,260mg,7.5,FALSE,7.5,FALSE,,,1534278580.0-W-1244
2018-08-15 06:29:40 UTC,ovaltine,Ovaltine Chocolate Lasting Energy,Drinks,415g,g,,,,,,,,,,5,FALSE,5,FALSE,,,1534278580.0-W-1245
2018-08-15 06:29:40 UTC,horlicks,Horlicks Malted Milk Drink,Drinks,500g,25g,20,,1624kJ,9.7g,3.2g,1.3g,77.2g,35.3g,500mg,11.5,FALSE,11.5,FALSE,,,1534278580.0-W-1246
2018-08-15 06:29:40 UTC,nesquik,Nesquik Chocolate ,Drinks,500g,11g,45,,1730kJ,4.8g,3.2g,1.7g,90.3g,80.0g,<5mg,5.5,FALSE,5.5,FALSE,,,1534278580.0-W-1247
2018-08-15 06:29:40 UTC,nesquik,Nesquik Strawberry Flavour,Drinks,250g,11g,22,,1690kJ,0.0g,<1g,0.0g,23.1g,23.1g,10mg,2.8,FALSE,2.8,FALSE,,,1534278580.0-W-1248
2018-08-15 06:29:40 UTC,jarrah,Jarrah Salted Caramel Hot Chocolate,Drinks,275g,12.5g,22,,115kJ,0.8g,1.0g,0.9g,3.7g,2.0g,111mg,7,FALSE,7,FALSE,,,1534278580.0-W-1249
2018-08-15 06:29:40 UTC,jarrah,Jarrah Choc O Lait Drinking Chocolate,Drinks,285g,11.5g,24,,97kJ,0.9g,0.5g,0.4g,3.5g,2.6g,69mg,7,FALSE,7,FALSE,,,1534278580.0-W-1250
2018-08-15 06:29:40 UTC,vittoria,Vittoria Chocochino Dark Drinking Chocolate,Drinks,375g,g,,,,,,,,,,4.9,TRUE,4,FALSE,,,1534278580.0-W-1251
2018-08-15 06:29:40 UTC,nesquik,Nesquik Strawberry Flavour,Drinks,500g,g,,,,,,,,,,5.5,FALSE,5.5,FALSE,,,1534278580.0-W-1252
2018-08-15 06:29:40 UTC,nesquik,Nesquik Chocolate ,Drinks,250g,,22,,1730kJ,4.8g,,,90.3g,,,2.8,FALSE,2.8,FALSE,,,1534278580.0-W-1253
2018-08-15 06:29:40 UTC,sipahh,Sipahh Variety Pack Milk Straws,Drinks,25x88g,3.5g (1 straw),25,,1630kJ,1.2g,0.6g,0.3g,93g,52g,31mg,8.39,FALSE,8.39,FALSE,,,1534278580.0-W-1254
2018-08-15 06:29:40 UTC,vittoria,Vittoria Chocochino Drinking Chocolate,Drinks,375g,21g,17,,1590kJ,8.5g,2.0g,1.3g,76.9g,76.0g,64mg,4.9,TRUE,4,FALSE,,,1534278580.0-W-1255
2018-08-15 06:29:40 UTC,akta vite,Akta Vite Drinking Chocolate ,Drinks,375g,15g (3tsp),25,,1490kJ,4.4g,1.9g,1.2g,79.3g,62.9g,11mg,5.95,FALSE,5.95,FALSE,,,1534278580.0-W-1256
2018-08-15 06:29:40 UTC,fangks kids drinking,Fangks Kids Drinking Chocolate Milk Mix Sugar Free,Drinks,200g,25g (2 tablespoons) plus 250m1 skim milk,8,,240kJ,2.2g,1.6g,0.8g,2.0g,0.1g,43mg,3,FALSE,3,FALSE,,,1534278580.0-W-1257
2018-08-15 06:29:40 UTC,cadbury,Cadbury Drinking Chocolate ,Drinks,225g,15g (approx. 1 tablespoon),15,,1640kJ,5.4g,2.3g,1.3g,83.8g,77.1g,4mg,3.2,TRUE,2,FALSE,,,1534278580.0-W-1258
2018-08-15 06:29:40 UTC,avalanche,Avalanche Sugar Free Drinking Chocolate,Drinks,200g,12g (approx 2 teaspoons),16,,267kJ,4.2g,2.5g,1.2g,2.8g,0.1g,110mg,4.8,FALSE,4.8,FALSE,,,1534278580.0-W-1259
2018-08-15 06:29:40 UTC,nestle,Nestle Milo Choc-malt,Drinks,1kg,100g,50,,Approx. 1670kJ,Approx. 11.9g,Approx. 10g,Approx. 6.1g,Approx. 64.5g,Approx. 46.4g,Approx. 120mg,12,FALSE,12,FALSE,,,1534278580.0-W-1260
