Date of data Extraction,Brand,Product name,Category,Pack size,Serving size,Servings per pack,Product code,Energy per 100g (or 100ml),Protein per 100g (or 100ml),Total fat per 100g (or 100ml),Saturated fat per 100g (or 100ml),Carbohydrate per 100g (or 100ml),Sugars per 100g (or 100ml),Sodium per 100g (or 100ml),Original Price,Price Promoted,Price Promoted Price,Multi Buy Special,Multi Buy Special Details,Multi Buy Price,UID
2018-08-15 06:49:39 UTC,birds eye ,Birds Eye Hash Browns ,Freezer,375g,62.0g,6,,795kJ,1.9g,10.8g,0.8g,20.2g,<1g,350mg,3.19,TRUE,3,FALSE,,,1534279779.0-W-2194
2018-08-15 06:49:39 UTC,bell farms,Bell Farms Crunchy Chips ,Freezer,750g,100g,7.5,,537kJ,2.3g,3.7g,<1.0g,20.4g,0.3g,127mg,3,TRUE,2.5,FALSE,,,1534279779.0-W-2195
2018-08-15 06:49:39 UTC,woolworths,Woolworths Chunky Steakhouse Chips,Freezer,1kg,100g,10,,Approx. 550kJ,Approx. 3.1g,Approx. 3.7g,<1g,Approx. 19.9g,Approx. 0.5g,Approx. 39mg,2.69,TRUE,2,FALSE,,,1534279779.0-W-2196
2018-08-15 06:49:39 UTC,birds eye ,Birds Eye Golden Crunch Straight Cut Chips,Freezer,1kg,100g,10,,561kJ,2.0g,4.5g,0.3g,20.1g,<1g,283mg,4.29,TRUE,3,FALSE,,,1534279779.0-W-2197
2018-08-15 06:49:39 UTC,birds eye golden crunch ,Birds Eye Golden Crunch Crinkle Cut Chips,Freezer,1kg,100g,10,,634kJ,2.2g,5.0g,0.4g,23.1g,<1g,286mg,4.29,TRUE,3,FALSE,,,1534279779.0-W-2198
2018-08-15 06:49:39 UTC,woolworths,Woolworths Potato Minis,Freezer,1kg,100g,10,,662kJ,2.4g,8.1g,<1.0g,17.8g,0.5g,388mg,3.49,TRUE,2.9,FALSE,,,1534279779.0-W-2199
2018-08-15 06:49:39 UTC,birds eye,Birds Eye Golden Crunch Crisps Lightly Seasoned,Freezer,500g,g,,,,,,,,,,3.99,TRUE,1.99,FALSE,,,1534279779.0-W-2200
2018-08-15 06:49:39 UTC,birds eye deli,Birds Eye Deli Seasoned Roast Potatoes Rosemary & Garlic,Freezer,600g,100.0g,6,,578kJ,2.0g,6.0g,0.5g,17.6g,<1.0g,224mg,3.95,TRUE,1.97,FALSE,,,1534279779.0-W-2201
2018-08-15 06:49:39 UTC,simply wize,Simply Wize Pastry Puff Gluten Free,Freezer,540g,30g,18,,1213kJ,3.1g,7.5g,4.7g,51.3g,4.3g,378mg,8.99,FALSE,8.99,FALSE,,,1534279779.0-W-2202
2018-08-15 06:49:39 UTC,noshu,Noshu Donut Caramel Spice ,Freezer,45g,g,,,,,,,,,,3.75,FALSE,3.75,FALSE,,,1534279779.0-W-2203
2018-08-15 06:49:39 UTC,bell farms,Bell Farms French Fries ,Freezer,1kg,100g,10,,592kJ,2.5g,4.0g,<1g,22.6g,0.6g,29mg,3,TRUE,2.5,FALSE,,,1534279779.0-W-2204
2018-08-15 06:49:39 UTC,birds eye ,Birds Eye Golden Crunch Wedges,Freezer,1kg,100.0g,10,,534kJ,1.9g,4.1g,0.3g,19.2g,<1g,249mg,4.29,TRUE,3,FALSE,,,1534279779.0-W-2205
2018-08-15 06:49:39 UTC,noshu,Noshu Donut Banana & Coconut ,Freezer,45g,g,,,,,,,,,,3.75,FALSE,3.75,FALSE,,,1534279779.0-W-2206
2018-08-15 06:49:39 UTC,noshu,Noshu Donut Strawberry ,Freezer,45g,45g,,,Approx. 1100kJ,Approx. 9g,Approx. 18.7g,Approx. 13.9g,Approx. 7.1g,Approx. 3.2g,Approx. 110mg,3.75,FALSE,3.75,FALSE,,,1534279779.0-W-2207
2018-08-15 06:49:39 UTC,kez's kitchen ,Kez's Kitchen Gluten Free Melting Moment Ice Cream,Freezer,473ml,Ml,,,,,,,,,,9.9,FALSE,9.9,FALSE,,,1534279779.0-W-2208
2018-08-15 06:49:39 UTC,mccain,Mccain Gluten Free Chips ,Freezer,750g,g,,,,,,,,,,4.5,FALSE,4.5,FALSE,,,1534279779.0-W-2209
