Date of data Extraction,Brand,Product name,Category,Pack size,Serving size,Servings per pack,Product code,Energy per 100g (or 100ml),Protein per 100g (or 100ml),Total fat per 100g (or 100ml),Saturated fat per 100g (or 100ml),Carbohydrate per 100g (or 100ml),Sugars per 100g (or 100ml),Sodium per 100g (or 100ml),Original Price,Price Promoted,Price Promoted Price,Multi Buy Special,Multi Buy Special Details,Multi Buy Price,UID
2018-08-15 08:29:42 UTC,apple,Apple Toffee ,Fruit & Veg,each,120g,1,,591kJ,0.2g,0.4g,0.0g,33.3g,29.6g,9mg,2,FALSE,2,FALSE,,,1534285782.0-W-7684
2018-08-15 08:29:42 UTC,banana,Banana Red Tipped ,Fruit & Veg,each,each,,,,,,,,,,1,FALSE,1,FALSE,,,1534285782.0-W-7685
2018-08-15 08:29:42 UTC,pear,Pear Corella ,Fruit & Veg,each,each,,,,,,,,,,0.98,FALSE,0.98,FALSE,,,1534285782.0-W-7688
2018-08-15 08:29:42 UTC,apple,Apple Fuji ,Fruit & Veg,each,each,,,,,,,,,,0.79,FALSE,0.79,FALSE,,,1534285782.0-W-7689
2018-08-15 08:29:42 UTC,pear,Pear Nashi Fruit Green ,Fruit & Veg,each,each,,,,,,,,,,1.77,FALSE,1.77,FALSE,,,1534285782.0-W-7690
2018-08-15 08:29:42 UTC,woolworths,Woolworths Cherries Large,Fruit & Veg,per kg,per,,,,,,,,,,0,FALSE,0,FALSE,,,1534285782.0-W-7691
2018-08-15 08:29:42 UTC,, Fruit Essentials Bundle ,Fruit & Veg,,,,,,,,,,,,18,FALSE,18,FALSE,,,1534285782.0-W-7692
2018-08-15 08:29:42 UTC,fresh berry farm,Fresh Berry Farm Berry Sauce Raspberry,Fruit & Veg,200g tub,25g,8,,266kJ,0.7g,0.2g,0.1g,12g,8.4g,1mg,3,FALSE,3,FALSE,,,1534285782.0-W-7694
2018-08-15 08:29:42 UTC,pear ,Pear Josephine ,Fruit & Veg,750g punnet,g,,,,,,,,,,2.5,FALSE,2.5,FALSE,,,1534285782.0-W-7695
2018-08-15 08:29:42 UTC,blueberry,Blueberry Fresh ,Fruit & Veg,230g punnet,g,,,,,,,,,,7.4,FALSE,7.4,FALSE,,,1534285782.0-W-7696
2018-08-15 08:29:42 UTC,strawberry,Strawberry Fresh ,Fruit & Veg,250g punnet,g,,,,,,,,,,1.7,FALSE,1.7,FALSE,,,1534285782.0-W-7697
2018-08-15 08:29:42 UTC,woolworths,Woolworths Black Seedless Grapes Bunch,Fruit & Veg,700g,g,,,,,,,,,,8.33,FALSE,8.33,FALSE,,,1534285782.0-W-7698
2018-08-15 08:29:42 UTC,woolworths,Woolworths Red Seedless Grapes Bunch,Fruit & Veg,700g,g,,,,,,,,,,6.93,FALSE,6.93,FALSE,,,1534285782.0-W-7699
2018-08-15 08:29:42 UTC,apple,Apple Fresh Rockit,Fruit & Veg,5pk,,,,,,,,,,,4.9,FALSE,4.9,FALSE,,,1534285782.0-W-7700
2018-08-15 08:29:42 UTC,fresh berry farm,Fresh Berry Farm Berry Sauce Summer Berries,Fruit & Veg,200g tub,25g,8,,238kJ,0.5g,0.1g,0g,12.1g,8.4g,1mg,3,FALSE,3,FALSE,,,1534285782.0-W-7701
2018-08-15 08:29:42 UTC,cherries,Cherries Cherries Red,Fruit & Veg,300g punnet,g,,,,,,,,,,6.9,FALSE,6.9,FALSE,,,1534285782.0-W-7702
2018-08-15 08:29:42 UTC,woolworths,Woolworths Green Seedless Grapes Bunch,Fruit & Veg,700g,g,,,,,,,,,,9.03,FALSE,9.03,FALSE,,,1534285782.0-W-7703
2018-08-15 08:29:42 UTC,apple,Apple Fuji ,Fruit & Veg,1kg punnet,kg,,,,,,,,,,4.5,FALSE,4.5,FALSE,,,1534285782.0-W-7704
2018-08-15 08:29:42 UTC,apple,Apple Jazz ,Fruit & Veg,each,each,,,,,,,,,,1.03,FALSE,1.03,FALSE,,,1534285782.0-W-7705
2018-08-15 08:29:42 UTC,apple,Apple Red Delicious ,Fruit & Veg,1kg punnet,kg,,,,,,,,,,4,FALSE,4,FALSE,,,1534285782.0-W-7706
2018-08-15 08:29:42 UTC,pear,Pear Packham ,Fruit & Veg,1kg punnet,kg,,,,,,,,,,2.9,FALSE,2.9,FALSE,,,1534285782.0-W-7707
2018-08-15 08:29:42 UTC,pear,Pear Packham Ripe & Ready,Fruit & Veg,each,each,,,,,,,,,,0.67,FALSE,0.67,FALSE,,,1534285782.0-W-7708
2018-08-15 08:29:42 UTC,apple,Apple Jazz ,Fruit & Veg,1kg punnet,kg,,,,,,,,,,5.9,FALSE,5.9,FALSE,,,1534285782.0-W-7709
2018-08-15 08:29:42 UTC,apple,Apple Red Delicious ,Fruit & Veg,each,each,,,,,,,,,,0.7,FALSE,0.7,FALSE,,,1534285782.0-W-7710
2018-08-15 08:29:42 UTC,mixed fruit,Mixed Fruit Pack ,Fruit & Veg,1kg punnet,kg,,,,,,,,,,4.5,FALSE,4.5,FALSE,,,1534285782.0-W-7711
2018-08-15 08:29:42 UTC,pear,Pear Buerre Bosc ,Fruit & Veg,750g punnet,g,,,,,,,,,,2.4,FALSE,2.4,FALSE,,,1534285782.0-W-7712
2018-08-15 08:29:42 UTC,pear,Pear Beurre Bosc ,Fruit & Veg,each,each,,,,,,,,,,0.58,FALSE,0.58,FALSE,,,1534285782.0-W-7713
2018-08-15 08:29:42 UTC,, Mixed Fruit Snack Box Bundle ,Fruit & Veg,,,,,,,,,,,,15.9,FALSE,15.9,FALSE,,,1534285782.0-W-7714
2018-08-15 08:29:42 UTC,apple,Apple Granny Smith ,Fruit & Veg,1kg punnet,kg,,,,,,,,,,5,FALSE,5,FALSE,,,1534285782.0-W-7715
2018-08-15 08:29:42 UTC,mandarin,Mandarin Tangold Seedless ,Fruit & Veg,kg,kg,,,,,,,,,,4.5,FALSE,4.5,FALSE,,,1534285782.0-W-7716
2018-08-15 08:29:42 UTC,apple,Apple Granny Smith ,Fruit & Veg,each,each,,,,,,,,,,0.88,FALSE,0.88,FALSE,,,1534285782.0-W-7717
2018-08-15 08:29:42 UTC,mandarins,Mandarins Sweet & Juicy ,Fruit & Veg,750g prepack,g,,,,,,,,,,3.5,FALSE,3.5,FALSE,,,1534285782.0-W-7718
2018-08-15 08:29:42 UTC,grapefruit,Grapefruit Red Flesh ,Fruit & Veg,each,each,,,,,,,,,,1.76,FALSE,1.76,FALSE,,,1534285782.0-W-7719
2018-08-15 08:29:42 UTC,mandarin,Mandarin Delite Seedless ,Fruit & Veg,each,each,,,,,,,,,,0.35,FALSE,0.35,FALSE,,,1534285782.0-W-7720
2018-08-15 08:29:42 UTC,tangelo,Tangelo Minneola ,Fruit & Veg,each,each,,,,,,,,,,0.8,FALSE,0.8,FALSE,,,1534285782.0-W-7721
2018-08-15 08:29:42 UTC,birch & waite,Birch & Waite Milk Chocolate Dessert Sauce,Fruit & Veg,130g,g,,,,,,,,,,2.7,FALSE,2.7,FALSE,,,1534285782.0-W-7722
2018-08-15 08:29:42 UTC,mandarin,Mandarin The Odd Bunch ,Fruit & Veg,1kg punnet,kg,,,,,,,,,,3,FALSE,3,FALSE,,,1534285782.0-W-7723
2018-08-15 08:29:42 UTC,orange,Orange Blood ,Fruit & Veg,1kg punnet,kg,,,,,,,,,,4,FALSE,4,FALSE,,,1534285782.0-W-7724
2018-08-15 08:29:42 UTC,blueberry,Blueberry Fresh ,Fruit & Veg,125g punnet,g,,,,,,,,,,4,FALSE,4,FALSE,,,1534285782.0-W-7725
2018-08-15 08:29:42 UTC,raspberry,Raspberry Fresh ,Fruit & Veg,125g punnet,g,,,,,,,,,,6.9,FALSE,6.9,FALSE,,,1534285782.0-W-7726
2018-08-15 08:29:42 UTC,lemon,Lemon Fresh ,Fruit & Veg,each,each,,,,,,,,,,0.65,FALSE,0.65,FALSE,,,1534285782.0-W-7727
2018-08-15 08:29:42 UTC,orange,Orange Navel ,Fruit & Veg,3kg bag,kg,,,,,,,,,,5.9,FALSE,5.9,FALSE,,,1534285782.0-W-7728
2018-08-15 08:29:42 UTC,lime,Lime Fresh ,Fruit & Veg,each,each,,,,,,,,,,1.44,FALSE,1.44,FALSE,,,1534285782.0-W-7729
2018-08-15 08:29:42 UTC,lemon,Lemon Fresh ,Fruit & Veg,500g,g,,,,,,,,,,2.5,FALSE,2.5,FALSE,,,1534285782.0-W-7730
2018-08-15 08:29:42 UTC,mandarin,Mandarin Delite Seedless,Fruit & Veg,700g prepack,g,,,,,,,,,,3.5,FALSE,3.5,FALSE,,,1534285782.0-W-7731
2018-08-15 08:29:42 UTC,woolworths,Woolworths Simply Simmer Veggie Mix ,Fruit & Veg,400g,100g,4,,149kJ,1.5g,0.3g,<0.1g,6.6g,2.8g,65mg,4,FALSE,4,FALSE,,,1534285782.0-W-7732
