Date of data Extraction,Brand,Product name,Category,Pack size,Serving size,Servings per pack,Product code,Energy per 100g (or 100ml),Protein per 100g (or 100ml),Total fat per 100g (or 100ml),Saturated fat per 100g (or 100ml),Carbohydrate per 100g (or 100ml),Sugars per 100g (or 100ml),Sodium per 100g (or 100ml),Original Price,Price Promoted,Price Promoted Price,Multi Buy Special,Multi Buy Special Details,Multi Buy Price,UID
2018-08-15 06:09:36 UTC,louis latour bourgogne,Louis Latour Bourgogne Pinot Noir ,Liquor,750ml,Ml,,,,,,,,,,30,TRUE,29.33,FALSE,,,1534277376.0-W-27
2018-08-15 06:09:36 UTC,carpineto,Carpineto Chianti Classico Docg,Liquor,750ml,Ml,,,,,,,,,,30,TRUE,25.33,FALSE,,,1534277376.0-W-28
2018-08-15 06:09:36 UTC,guillaume gonnet,Guillaume Gonnet Bel Ami Chateauneuf ,Liquor,750ml,Ml,,,,,,,,,,69,TRUE,68,FALSE,,,1534277376.0-W-29
2018-08-15 06:09:36 UTC,pierre naigeon,Pierre Naigeon Cotes De Nuits ,Liquor,750ml,Ml,,,,,,,,,,45,TRUE,44,FALSE,,,1534277376.0-W-30
2018-08-15 06:09:36 UTC,domaine des,Domaine Des Grosses Pierre Sancerre,Liquor,750ml,Ml,,,,,,,,,,34,TRUE,33.33,FALSE,,,1534277376.0-W-31
2018-08-15 06:09:36 UTC,chapoutier,Chapoutier Cote Du Rhone,Liquor,750ml,Ml,,,,,,,,,,21,TRUE,20,FALSE,,,1534277376.0-W-32
2018-08-15 06:09:36 UTC,arrogant frog,Arrogant Frog Pinot Noir ,Liquor,750ml,Ml,,,,,,,,,,13,TRUE,12,FALSE,,,1534277376.0-W-33
2018-08-15 06:09:36 UTC,emilio moro,Emilio Moro Bodegas Finca Resalso,Liquor,750ml,Ml,,,,,,,,,,25,TRUE,24,FALSE,,,1534277376.0-W-34
2018-08-15 06:09:36 UTC,chapoutier,Chapoutier Crozes Hermitage,Liquor,750ml,Ml,,,,,,,,,,34,TRUE,33.33,FALSE,,,1534277376.0-W-35
2018-08-15 06:09:36 UTC,arrogant frog,Arrogant Frog Frog Shiraz,Liquor,750ml,Ml,,,,,,,,,,13,TRUE,12,FALSE,,,1534277376.0-W-36
2018-08-15 06:09:36 UTC,arrogant frog,Arrogant Frog Syrah Rose,Liquor,750ml,Ml,,,,,,,,,,13,TRUE,12,FALSE,,,1534277376.0-W-37
2018-08-15 06:09:36 UTC,louis,Louis Montagny 1er Cru ,Liquor,750ml,Ml,,,,,,,,,,50,TRUE,49.33,FALSE,,,1534277376.0-W-38
2018-08-15 06:09:36 UTC,lovers not toreadors,Lovers Not Toreadors Toreadors Tempranillo,Liquor,750ml,Ml,,,,,,,,,,24,TRUE,21.33,FALSE,,,1534277376.0-W-39
2018-08-15 06:09:36 UTC,marques de riscal,Marques De Riscal Spain & Portugal Reserva Rioja,Liquor,750ml,Ml,,,,,,,,,,34,TRUE,33.33,FALSE,,,1534277376.0-W-40
2018-08-15 06:09:36 UTC,ch?teau,Ch?teau Haut Madrac Rouge,Liquor,750ml,Ml,,,,,,,,,,30,TRUE,29.33,FALSE,,,1534277376.0-W-41
2018-08-15 06:09:36 UTC,arrogant frog,Arrogant Frog Ribet Red Cabernet Merlot,Liquor,750ml,Ml,,,,,,,,,,13,TRUE,12,FALSE,,,1534277376.0-W-42
2018-08-15 06:09:36 UTC,macho gaucho,Macho Gaucho Gaucho Malbec,Liquor,750ml,Ml,,,,,,,,,,21,TRUE,20,FALSE,,,1534277376.0-W-43
2018-08-15 06:09:36 UTC,three keys,Three Keys Cotes Du Rhone,Liquor,750ml,Ml,,,,,,,,,,15,TRUE,14.66,FALSE,,,1534277376.0-W-44
2018-08-15 06:09:36 UTC,louis latour,Louis Latour Macon Villages Chameroy,Liquor,750ml,Ml,,,,,,,,,,29,TRUE,28,FALSE,,,1534277376.0-W-45
2018-08-15 06:09:36 UTC,giesen,Giesen Vintage Classic Cuvee,Liquor,750ml,Ml,,,,,,,,,,23,FALSE,23,FALSE,,,1534277376.0-W-46
