Date of data Extraction,Brand,Product name,Category,Pack size,Serving size,Servings per pack,Product code,Energy per 100g (or 100ml),Protein per 100g (or 100ml),Total fat per 100g (or 100ml),Saturated fat per 100g (or 100ml),Carbohydrate per 100g (or 100ml),Sugars per 100g (or 100ml),Sodium per 100g (or 100ml),Original Price,Price Promoted,Price Promoted Price,Multi Buy Special,Multi Buy Special Details,Multi Buy Price,UID
2018-08-15 05:50:03 UTC,homebrand brown paper,Homebrand Brown Paper Sandwich Bags For Lunch,Lunch Box,100 pack,,,,,,,,,,,2.5,FALSE,2.5,FALSE,,,1534276203.0-W-1
2018-08-15 05:50:03 UTC,glad,Glad Snaplock Reseal Sandwich Bags,Lunch Box,100 pack,,,,,,,,,,,5.5,FALSE,5.5,FALSE,,,1534276203.0-W-2
2018-08-15 05:50:03 UTC,glad,Glad Snap Lock Large Sandwich Resealable Bags,Lunch Box,30 pack,,,,,,,,,,,3.29,FALSE,3.29,FALSE,,,1534276203.0-W-3
2018-08-15 05:50:03 UTC,hercules click zip,Hercules Click Zip Sandwich Bags Resealable,Lunch Box,40 pack,,,,,,,,,,,2,FALSE,2,FALSE,,,1534276203.0-W-4
2018-08-15 05:50:03 UTC,decor,Decor Pumped Fresh Cooler ,Lunch Box,each,each,,,,,,,,,,10.99,FALSE,10.99,FALSE,,,1534276203.0-W-5
2018-08-15 05:50:03 UTC,glad,Glad Snaplock Reseal Snack Bags,Lunch Box,60 pack,,,,,,,,,,,3.3,FALSE,3.3,FALSE,,,1534276203.0-W-6
2018-08-15 05:50:03 UTC,sistema,Sistema Bottle Gripper To Go,Lunch Box,800ml each,Ml,,,,,,,,,,11,FALSE,11,FALSE,,,1534276203.0-W-7
2018-08-15 05:50:03 UTC,select,Select Sandwich Bags ,Lunch Box,65 pack,,,,,,,,,,,2,FALSE,2,FALSE,,,1534276203.0-W-8
2018-08-15 05:50:03 UTC,hercules click zip,Hercules Click Zip Sandwich Bags Resealable,Lunch Box,75 pack,,,,,,,,,,,3.99,TRUE,3.5,FALSE,,,1534276203.0-W-9
2018-08-15 05:50:03 UTC,brita,Brita Fill And Go Gen Pink,Lunch Box,each,each,,,,,,,,,,21,FALSE,21,FALSE,,,1534276203.0-W-10
