Date of data Extraction,Brand,Product name,Category,Pack size,Serving size,Servings per pack,Product code,Energy per 100g (or 100ml),Protein per 100g (or 100ml),Total fat per 100g (or 100ml),Saturated fat per 100g (or 100ml),Carbohydrate per 100g (or 100ml),Sugars per 100g (or 100ml),Sodium per 100g (or 100ml),Original Price,Price Promoted,Price Promoted Price,Multi Buy Special,Multi Buy Special Details,Multi Buy Price,UID
2018-08-15 07:09:41 UTC,continental value pack,Continental Value Pack Pasta & Sauce Four Cheeses,Pantry,170g,132g,5,,1590kJ,13.1g,4.1g,1.8g,70.4g,2.3g,1020mg,2.5,TRUE,1.5,FALSE,,,1534280981.0-W-3399
2018-08-15 07:09:41 UTC,continental ,Continental Value Pack Pasta & Sauce Alfredo,Pantry,145g,122g,5,,1570kJ,6.3g,3.1g,1.3g,24.7g,4.8g,300mg,2.5,TRUE,1.5,FALSE,,,1534280981.0-W-3400
2018-08-15 07:09:41 UTC,kraft,Kraft Mac N Cheese Original ,Pantry,205g,g,,,,,,,,,,3,TRUE,2.6,FALSE,,,1534280981.0-W-3401
2018-08-15 07:09:41 UTC,sunrice,Sunrice Heat & Serve Rice & Quinoa,Pantry,250g,125g,2,,676kJ,3.6g,2.3g,0.5g,30.1g,0.3g,4mg,3.49,TRUE,2.8,FALSE,,,1534280981.0-W-3402
2018-08-15 07:09:41 UTC,sunrice,Sunrice Heat & Serve Rice & Quinoa,Pantry,250g,125g,2,,699kJ,4.0g,2.6g,<1g,30.2g,<1g,<5mg,3.3,TRUE,2.8,FALSE,,,1534280981.0-W-3403
2018-08-15 07:09:41 UTC,continental value pack,Continental Value Pack Pasta & Sauce Chicken Curry,Pantry,150g,g,,,,,,,,,,2.5,TRUE,1.5,FALSE,,,1534280981.0-W-3404
2018-08-15 07:09:41 UTC,continental value pack,Continental Value Pack Pasta & Sauce Macaroni Cheese,Pantry,170g,130g,5,,1560kJ,10.8g,2.4g,1.2g,76.9g,1.8g,1080mg,2.5,TRUE,1.5,FALSE,,,1534280981.0-W-3405
2018-08-15 07:09:41 UTC,sunrice,Sunrice Steamed Rice Basmati 2 Quick Cups,Pantry,240g,125g,2,,615kJ,3.3g,2.1g,0.6g,27.8g,<1g,69mg,2.99,TRUE,2.5,FALSE,,,1534280981.0-W-3406
2018-08-15 07:09:41 UTC,sunrice,Sunrice Brown Rice Steamed Organic,Pantry,250g,125g,2,,666kJ,3.7g,<1g,<1g,33.7g,<1g,<5mg,3.3,TRUE,2.8,FALSE,,,1534280981.0-W-3407
2018-08-15 07:09:41 UTC,barilla,Barilla Pasta Sauce Napoletana,Pantry,400g,100g,4,,265kJ,63g,3.7g,0.3g,5.41g,5g,400mg,3.75,FALSE,3.75,FALSE,,,1534280981.0-W-3408
2018-08-15 07:09:41 UTC,continental,Continental Alfredo Garlic & Herb Pasta & Sauce Value Pack,Pantry,145g,122g,5,,1570kJ,12.6g,3.3g,1.1g,71.3g,4.4g,925mg,2.5,TRUE,1.5,FALSE,,,1534280981.0-W-3409
2018-08-15 07:09:41 UTC,leggos,Leggos Providore Tomato & Pepper,Pantry,400g,100g,4,,290kJ,1.0g,3.3g,0.4g,7.2g,6.9g,530mg,5,FALSE,5,FALSE,,,1534280981.0-W-3410
2018-08-15 07:09:41 UTC,mutti,Mutti Passata Tomato Puree,Pantry,400g,100g,4,,149kJ,1.6g,0.3g,0.1g,5.1g,4.5g,260mg,2.49,FALSE,2.49,FALSE,,,1534280981.0-W-3411
2018-08-15 07:09:41 UTC,continental,Continental Sour Cream & Chives Pasta & Sauce Value Pack,Pantry,145g,124g,5,,1600kJ,12.1g,5.4g,2.6g,69.5g,2.8g,1030mg,2.5,TRUE,1.5,FALSE,,,1534280981.0-W-3412
