Date of data Extraction,Brand,Product name,Category,Pack size,Serving size,Servings per pack,Product code,Energy per 100g (or 100ml),Protein per 100g (or 100ml),Total fat per 100g (or 100ml),Saturated fat per 100g (or 100ml),Carbohydrate per 100g (or 100ml),Sugars per 100g (or 100ml),Sodium per 100g (or 100ml),Original Price,Price Promoted,Price Promoted Price,Multi Buy Special,Multi Buy Special Details,Multi Buy Price
2018-08-15 06:09:46 UTC,180 Degrees,Hazelnut Oat Crackers,Pantry,150g,,,2791621P,,,,,,,,5,FALSE,5,FALSE,,
2018-08-15 06:09:46 UTC,180 Degrees,Walnut Oat Crackers,Pantry,150g,,,2791574P,,,,,,,,5,FALSE,5,FALSE,,
2018-08-15 06:09:46 UTC,180 Degrees,Caraway Seed Oat Crackers,Pantry,135g,,,3053171P,,,,,,,,5,FALSE,5,FALSE,,
2018-08-15 06:09:46 UTC,180 Degrees,Chili Almond Oat Crackers,Pantry,150g,,,3053138P,,,,,,,,5,FALSE,5,FALSE,,
2018-08-15 06:09:52 UTC,180 Degrees,Original Seed Oat Crackers,Pantry,135g,,,3053160P,,,,,,,,5,FALSE,5,FALSE,,
2018-08-15 06:09:46 UTC,28 Black,Natural Energy Drink Sugar Free,Pantry,250mL,,,1478362P,,,,,,,,2.69,FALSE,2.69,FALSE,,
2018-08-15 06:09:47 UTC,3 Pub Circus,Pale Ale 330mL Bottle,Liquor,6 pack,,,2587771P,,,,,,,,22,FALSE,22,FALSE,,
2018-08-15 06:09:47 UTC,3 Pub Circus,Artisan Ale 330mL Bottle,Liquor,24 pack,,,2587793P,,,,,,,,61,TRUE,48,FALSE,,
2018-08-15 06:09:47 UTC,3 Pub Circus,Pale Ale 330mL Bottle,Liquor,24 pack,,,2587760P,,,,,,,,60,TRUE,48,FALSE,,
2018-08-15 06:09:47 UTC,3 Pub Circus,Artisan Ale 330mL Bottle,Liquor,6 pack,,,2587807P,,,,,,,,22,FALSE,22,FALSE,,
2018-08-15 06:09:48 UTC,4 Pines Brewing,Pale Ale 330mL Bottles,Liquor,6 pack,,,8560960P,,,,,,,,22,FALSE,22,FALSE,,
