Date of data Extraction,Brand,Product name,Category,Pack size,Serving size,Servings per pack,Product code,Energy per 100g (or 100ml),Protein per 100g (or 100ml),Total fat per 100g (or 100ml),Saturated fat per 100g (or 100ml),Carbohydrate per 100g (or 100ml),Sugars per 100g (or 100ml),Sodium per 100g (or 100ml),Original Price,Price Promoted,Price Promoted Price,Multi Buy Special,Multi Buy Special Details,Multi Buy Price,UID
2018-11-12 10:48:52 UTC, i&j,light & crispy fish southern style,Freezer,570g,g,,,,,,,,,,6.5,FALSE,6.5,FALSE,,,1541980132.0-W-2810
2018-11-09 23:52:30 UTC, peppercorn extra,lean chicken chipolatas,"Meat, Seafood & Deli",450g,g,,,,,,,,,,8.5,FALSE,8.5,FALSE,,,1541767950.0-W-5912
2018-11-10 00:52:37 UTC,180 degrees,oat crackers walnut,"Meat, Seafood & Deli",150g,14g (3 Crackers),10.7,,100g,9.5g,34.5g,11.8g,42.8g,2.8g,809mg,0,FALSE,0,FALSE,,,1541771557.0-W-6097
2018-11-10 00:52:37 UTC,180 degrees,oat crackers hazelnut,"Meat, Seafood & Deli",150g,14g (3 Crackers),10.7,,100g,9.1g,31.9g,11.1g,41.6g,3.2g,8112mg,0,FALSE,0,FALSE,,,1541771557.0-W-6098
2018-11-10 00:52:37 UTC,180 degrees,oat crackers natural,"Meat, Seafood & Deli",150g,g,,,,,,,,,,0,FALSE,0,FALSE,,,1541771557.0-W-6099
2018-11-13 01:11:51 UTC,19 crimes,cabernet sauvignon,Liquor,750ml,Ml,,,,,,,,,,16,FALSE,16,TRUE,2,11,1542031911.0-W-4213
2018-11-13 01:26:44 UTC,19 crimes,red blend,Liquor,750ml,Ml,,,,,,,,,,16,FALSE,16,TRUE,2,11,1542032804.0-W-4230
2018-11-13 10:42:41 UTC,19 crimes,shiraz,Liquor,750ml,Ml,,,,,,,,,,16,FALSE,16,TRUE,2,11,1542066161.0-W-5299
2018-11-13 03:27:00 UTC,23rd st distillery,signature gin,Liquor,700ml,Ml,,,,,,,,,,0,FALSE,0,FALSE,,,1542040020.0-W-4639
2018-11-10 14:49:07 UTC,3 grain,organic stangrand fettuccine,"Dairy, Eggs & Fridge",300g,150g,2,,1340kJ,11.0g,2.2g,<1g,58.4g,<1g,8mg,6,FALSE,6,FALSE,,,1541821747.0-W-1588
2018-11-10 14:49:07 UTC,3 grain,organic stangrand spaghetti,"Dairy, Eggs & Fridge",300g,150g,2,,1340kJ,11.0g,2.2g,<1g,58.4g,<1g,8mg,0,FALSE,0,FALSE,,,1541821747.0-W-1589
2018-11-13 09:27:37 UTC,4 pines,american amber ale bottle,Liquor,330ml,Ml,,,,,,,,,,0,FALSE,0,FALSE,,,1542061657.0-W-5052
2018-11-13 09:27:37 UTC,4 pines,american amber ale,Liquor,24x330ml,Ml,,,,,,,,,,0,FALSE,0,FALSE,,,1542061657.0-W-5060
2018-11-13 09:57:37 UTC,4 pines,american amber ale,Liquor,6x330ml,Ml,,,,,,,,,,0,FALSE,0,TRUE,2,18,1542063457.0-W-5123
2018-11-13 09:57:37 UTC,4 pines brewing company,pale ale bottles,Liquor,24x330ml case,ml case,,,,,,,,,,0,FALSE,0,FALSE,,,1542063457.0-W-5114
2018-11-13 09:57:37 UTC,4 pines brewing company,pale ale bottles,Liquor,6x330ml pack,ml pack,,,,,,,,,,0,FALSE,0,TRUE,2,18,1542063457.0-W-5115
2018-11-13 09:57:37 UTC,4 pines brewing company,pale ale bottle,Liquor,330ml case,Ml,,,,,,,,,,0,FALSE,0,FALSE,,,1542063457.0-W-5116
2018-11-13 03:27:00 UTC,42 below pure,vodka,Liquor,700ml,Ml,,,,,,,,,,53,FALSE,53,FALSE,,,1542040020.0-W-4661
2018-11-13 11:27:48 UTC,42 degrees south,pinot noir,Liquor,750ml,Ml,,,,,,,,,,33,FALSE,33,FALSE,,,1542068868.0-W-5461
2018-11-12 22:56:27 UTC,5 seeds,lower sugar cider,Liquor,6x345ml pack,ml pack,,,,,,,,,,18,TRUE,13,FALSE,,,1542023787.0-W-3739
2018-11-12 22:56:27 UTC,5 seeds,crisp apple cider,Liquor,6x345ml,Ml,,,,,,,,,,18,TRUE,13,FALSE,,,1542023787.0-W-3740
2018-11-13 00:11:34 UTC,5 seeds,crisp apple cider,Liquor,345ml,Ml,,,,,,,,,,4.7,FALSE,4.7,FALSE,,,1542028294.0-W-3994
2018-11-13 00:11:34 UTC,5 seeds,crisp apple cider,Liquor,24x345ml,Ml,,,,,,,,,,43,FALSE,43,FALSE,,,1542028294.0-W-3995
2018-11-13 09:27:37 UTC,5 seeds,lower sugar cider bottle,Liquor,345ml,Ml,,,,,,,,,,4.7,FALSE,4.7,FALSE,,,1542061657.0-W-5041
2018-11-13 09:42:36 UTC,5 seeds,lower sugar cider,Liquor,24x345ml case,ml case,,,,,,,,,,43,FALSE,43,FALSE,,,1542062556.0-W-5085
