Date of data Extraction,Brand,Product name,ProductID,Category,Pack size,Serving size,Servings per pack,Product code,Energy per 100g (or 100ml),Protein per 100g (or 100ml),Total fat per 100g (or 100ml),Saturated fat per 100g (or 100ml),Carbohydrate per 100g (or 100ml),Sugars per 100g (or 100ml),Sodium per 100g (or 100ml),Original Price,Price Promoted,Price Promoted Price,Multi Buy Special,Multi Buy Special Details,Multi Buy Price,UID
2018-11-13 05:27:10 UTC,bellamy's organic,Bellamy's Organic Follow-on Formula Stage 2 From 6 Months,250241,Baby,900g,,,,Average per100g Powder: 2070kJ,"Average per100g Powder: 17.5g, Average per 100kJ: 0.8g","Average per100g Powder: 23.6g, Average per 100kJ: 1.1g",,"Average per100g Powder: 52.8g, Average per 100kJ: 2.6g",,"Average per100g Powder: 190mg, Average per 100kJ: 9mg",28,FALSE,28,FALSE,,,1542047230.0-W-1
2018-11-13 05:27:10 UTC,s26,S26 Original Alula Progress 6 - 12 Months,654818,Baby,900g,g,,,,,,,,,,19.25,TRUE,17,FALSE,,,1542047230.0-W-2
2018-11-13 05:27:10 UTC,karicare plus+,Karicare Plus+ Follow-on Formula Stage 2 6-12 Months,743732,Baby,900g,g,,,,,,,,,,20,FALSE,20,FALSE,,,1542047230.0-W-3
2018-11-13 05:27:10 UTC,s26,S26 Gold Alula Junior 2 Years +,654784,Baby,900g,g,,,,,,,,,,20,TRUE,16,FALSE,,,1542047230.0-W-4
2018-11-13 05:27:10 UTC,s26,S26 Gold Alula Progress 6- 12 Months,654783,Baby,900g,g,,,,,,,,,,23,FALSE,23,FALSE,,,1542047230.0-W-5
2018-11-13 05:27:10 UTC,nestle nan comfort,Nestle Nan Comfort Follow-on Formula Stage 2 6-12 Months,765301,Baby,800g,g,,,,,,,,,,19.99,TRUE,17,FALSE,,,1542047230.0-W-6
2018-11-13 05:27:10 UTC,nestle,Nestle Nan Supreme Stage 2 (6-12 Months),414748,Baby,800g,g,,,,,,,,,,29.99,FALSE,29.99,FALSE,,,1542047230.0-W-7
2018-11-13 05:27:10 UTC,nestle nan,Nestle Nan Optipro Gold Formula Stage 2 6-12 Months,379610,Baby,800g,g,,,,,,,,,,22.5,FALSE,22.5,FALSE,,,1542047230.0-W-8
2018-11-13 05:27:10 UTC,nestle,Nestle Nan Organic Stage 2 ,805905,Baby,800g,g,,,,,,,,,,35,FALSE,35,FALSE,,,1542047230.0-W-9
2018-11-13 05:27:10 UTC,aptamil,Aptamil Gold+ Follow-on Formula Multipack Sachet,680881,Baby,4pkx30.8g,g,,,,,,,,,,6,FALSE,6,FALSE,,,1542047230.0-W-10
2018-11-13 05:27:10 UTC,karicare plus+,Karicare Plus+ Toddler Formula Stage 4 From 2 Years,743762,Baby,900g,Approximately230mL (1 Serve),25,,272kJ,2.2g,1.9g,1.3g,9.4g,5.0g,"25mg, 1.1mmol",19,TRUE,16,FALSE,,,1542047230.0-W-11
2018-11-13 05:27:10 UTC,karicare plus+,Karicare Plus+ Toddler Formula Stage 3 12 Months+,743687,Baby,900g,Approximately230mL (1 serve),24,,289kJ,2.4g,2.2g,1.5g,9.5g,5.2g,26mg 1.1mmol,17.95,TRUE,16,FALSE,,,1542047230.0-W-12
