Date of data Extraction,Brand,Product name,Pack size,Serving size,Servings per pack,Product code,Energy per 100g (or 100ml),Protein per 100g (or 100ml),Total fat per 100g (or 100ml),Saturated fat per 100g (or 100ml),Carbohydrate per 100g (or 100ml),Sugars per 100g (or 100ml),Sodium per 100g (or 100ml),Original Price,Price Promoted,Price Promoted Price,Multi Buy Special,Multi Buy Special Details,Multi Buy Price
2018-06-08 22:10:16 UTC,chris' dips,Chris' Dips Corn Relish ,10,20g,1,,893kJ,4.3g,15.4g,8.2g,14.7g,6.6g,480mg,3.5,FALSE,,TRUE,2 for 6.00,3
2018-06-08 22:10:16 UTC,chris',Chris' Taramosalata Homestyle Caviar Dip,10,200,1,,1870kj,2.4g,43.3g,3.1g,12.1g,0.6g,540mg,3.5,FALSE,,TRUE,2 for 6.00,3
2018-06-08 22:10:16 UTC,chris' dips,Chris' Dips Lite Tzatziki ,10,20g,1,,309kJ,4.8g,2.4g,1.7g,7.6g,3.1g,330mg,3.5,FALSE,,TRUE,2 for 6.00,3
2018-06-08 22:10:16 UTC,chris' dips,Chris' Dips Spicy Capsicum ,10,20g,1,,841kJ,4.8g,15.6g,8.8g,10.7g,1.9g,610mg,3.5,FALSE,,TRUE,2 for 6.00,3
2018-06-08 22:10:16 UTC,chris' dips,Chris' Dips Lite Hommus ,10,20g,1,,710kJ,6.1g,9.0g,1.0g,16.1g,0.5g,390mg,3.5,FALSE,,TRUE,2 for 6.00,3
2018-06-08 22:10:16 UTC,chris' dips,Chris' Dips Tzatziki ,1,20g,1,,,5.5g,5.0g,1.8g,,2.7g,340mg,3.5,FALSE,,TRUE,2 for 6.00,3
2018-06-08 22:10:16 UTC,yumi's,Yumi's Eggplant Mediterranean Dip,10,20g,1,,649kJ,1.3g,15.2g,1.1g,2.8g,2.6g,652mg,4,TRUE,3,FALSE,,
2018-06-08 22:10:16 UTC,obela,Obela Capsicum Veggie To Go Dip,100g,g,1,,,,,,,,,3,FALSE,,FALSE,,
2018-06-08 22:10:16 UTC,red rock deli ,Red Rock Deli Dip Chilli & Lemongrass,7.5,20g,1,,1410kJ,6.3g,26.4g,3.0g,19.0g,4.4g,375mg,4.6,FALSE,,FALSE,,
2018-06-08 22:10:16 UTC,south cape,South Cape Cracked Pepper Cream Cheese,8,25g,1,,1450kJ,7.5g,33.5g,23.1g,4.9g,2.0g,380mg,4.29,FALSE,,FALSE,,
2018-06-08 22:10:16 UTC,south cape,South Cape Herb & Garlic Cream Cheese,200g,g,1,,,,,,,,,4.29,FALSE,,FALSE,,
2018-06-08 22:10:16 UTC,chris' dips,Chris' Dips Cheese & Chive ,10,20g,1,,979kJ,6.0g,19.6g,9.9g,8.3g,1.5g,320mg,3.5,FALSE,,TRUE,2 for 6.00,3
2018-06-08 22:10:16 UTC,chris' dips,Chris' Dips Egyptian Beetroot ,10,20g,1,,264kJ,1.4g,1.2g,0.3g,11.5g,7.7g,370mg,3.5,FALSE,,TRUE,2 for 6.00,3
