Date of data Extraction 1,Brand 1,Product name 1,Category 1,Pack size 1,Serving size 1,Servings per pack 1,Product code 1,Energy per 100g (or 100ml) 1,Protein per 100g (or 100ml) 1,Total fat per 100g (or 100ml) 1,Saturated fat per 100g (or 100ml) 1,Carbohydrate per 100g (or 100ml) 1,Sugars per 100g (or 100ml) 1,Sodium per 100g (or 100ml) 1,Original Price 1,Price Promoted 1,Price Promoted Price 1,Multi Buy Special 1,Multi Buy Special Details 1,Multi Buy Price 1,UID 1,Date of data Extraction 2,Brand 2,Product name 2,Category 2,Pack size 2,Serving size 2,Servings per pack 2,Product code 2,Energy per 100g (or 100ml) 2,Protein per 100g (or 100ml) 2,Total fat per 100g (or 100ml) 2,Saturated fat per 100g (or 100ml) 2,Carbohydrate per 100g (or 100ml) 2,Sugars per 100g (or 100ml) 2,Sodium per 100g (or 100ml) 2,Original Price 2,Price Promoted 2,Price Promoted Price 2,Multi Buy Special 2,Multi Buy Special Details 2,Multi Buy Price 2,UID 2
2018-08-15 06:09:30 UTC,Helga's,Mixed Grain Bread,Bread & Bakery,850g,,,6711227P,,,,,,,,3.7,FALSE,3.7,FALSE,,,1534277370.0-C-571,2018-08-15 09:49:38 UTC,helga's,grain bread mixed grain,Bakery,850g,94g (2 slices),9(16 slices + 2 Crusts),,1040kJ,9.6g,3.2g,<1.0g,43.0g,3.0g,400mg,3.7,FALSE,3.7,FALSE,,,1534290578.0-W-12781
2018-08-15 06:09:29 UTC,Helga's,Wholemeal 10 Grains & Seeds,Bread & Bakery,750g,,,3180430P,,,,,,,,3.7,FALSE,3.7,FALSE,,,1534277369.0-C-504,2018-08-15 09:49:38 UTC,helga's,squar loaf 10 grains & seeds,Bakery,750g,g,,,,,,,,,,3.7,FALSE,3.7,FALSE,,,1534290578.0-W-12822
2018-08-15 06:09:30 UTC,Helga's,White Bread 10 Grains & Seeds 750g,Bread & Bakery,750g,,,3180420P,,,,,,,,3.7,FALSE,3.7,FALSE,,,1534277370.0-C-781,2018-08-15 09:49:38 UTC,helga's,square loaf 10 grains & seeds wholemeal,Bakery,750g,g,,,,,,,,,,3.7,FALSE,3.7,FALSE,,,1534290578.0-W-12806
2018-08-15 06:09:29 UTC,Tip Top,Sandwich Thins Lighty Seeded,Bread & Bakery,240g,40 g (1 Thin),6,2917071P,1030kJ,9.0g,2.1g,0.6g,45.0g,3.1g,366mg,3.5,FALSE,3.5,FALSE,,,1534277369.0-C-545,2018-08-15 08:09:46 UTC,tip top,sandwich thins lightly seeded,Bakery,6 pack,,,,,,,,,,,3.5,FALSE,3.5,TRUE,2,2.5,1534284586.0-W-6690
2018-08-15 06:09:29 UTC,Burgen,Wholemeal & Seeds Bread,Bread & Bakery,700g,,8.5,5369358P,922kJ,13.2g,6.1g,0.7g,23.2g,2.3g,386mg,4.9,FALSE,4.9,FALSE,,,1534277369.0-C-285,2018-08-15 09:49:38 UTC,burgen,bread wholemeal & seeds,Bakery,700g,83g (2 slices),8,,922kJ,13.2g,6.1g,0.7g,23.2g,2.3g,386mg,4.9,FALSE,4.9,FALSE,,,1534290578.0-W-12823
2018-08-15 06:09:55 UTC,Golden,Original Pikelets,Bread & Bakery,8 pack,25g (1 pikelet),8,54000P,918kJ,5.0g,5.0g,0.6g,37.1g,12.1g,330mg,3.99,FALSE,3.99,FALSE,,,1534277395.0-C-8146,2018-08-15 08:09:45 UTC,golden,pikelets,Bakery,8 pack,25g (1 pikelet),8,,918kJ,5.0g,5.0g,0.6g,37.1g,12.1g,330mg,3.99,FALSE,3.99,TRUE,2,3,1534284585.0-W-6614
2018-08-15 06:09:29 UTC,Burgen,Traditional Rye Bread,Bread & Bakery,700g,,8.5,5249684P,1035kJ,10.6g,5.2g,0.5g,35.4g,1.5g,17%,4.9,FALSE,4.9,FALSE,,,1534277369.0-C-506,2018-08-15 09:49:38 UTC,burgen,bread traditional rye,Bakery,700g,83g (2 slices),8,,1035kJ,10.6g,5.2g,0.5g,35.4g,1.5g,17.00%,4.9,FALSE,4.9,FALSE,,,1534290578.0-W-12844
2018-08-15 06:09:30 UTC,Golden,Chocolate Bomb Pikelets,Bread & Bakery,8 pack,,8,2919805P,1040kJ,5.0g,6.8g,0.8g,40.8g,14.3g,370mg,3.99,FALSE,3.99,FALSE,,,1534277370.0-C-742,2018-08-15 08:09:45 UTC,golden,chocolate flavoured pikelet,Bakery,8 pack,,8,,1040kJ,5.0g,6.8g,0.8g,40.8g,14.3g,370mg,3.99,FALSE,3.99,TRUE,2,3,1534284585.0-W-6607
2018-08-15 06:09:29 UTC,Wonder White,Smooth Wholegrain Bread,Bread & Bakery,700g,,,2738243P,,,,,,,,3.2,FALSE,3.2,FALSE,,,1534277369.0-C-529,2018-08-15 09:49:38 UTC,wonder white,smooth wholegrain,Bakery,700g,74g (2 slices),9.5(17 slices and 2 crusts ),,980kJ,8.7g,3.1g,<1.0g,38.5g,3.2g,400mg,3.2,FALSE,3.2,FALSE,,,1534290578.0-W-12818
2018-08-15 06:09:30 UTC,Helga's,Traditional White Bread,Bread & Bakery,750g,,,5969945P,,,,,,,,3.7,FALSE,3.7,FALSE,,,1534277370.0-C-553,2018-08-15 09:49:38 UTC,helga's,bread traditional white,Bakery,750g,83g (2 Slices),9(16 Slices + 2 Crusts),,1010kJ,8.2g,2.4g,<1.0g,43.1g,3.0g,400mg,3.7,FALSE,3.7,FALSE,,,1534290578.0-W-12812
