Date of data Extraction 1,Brand 1,Product name 1,Category 1,Pack size 1,Serving size 1,Servings per pack 1,Product code 1,Energy per 100g (or 100ml) 1,Protein per 100g (or 100ml) 1,Total fat per 100g (or 100ml) 1,Saturated fat per 100g (or 100ml) 1,Carbohydrate per 100g (or 100ml) 1,Sugars per 100g (or 100ml) 1,Sodium per 100g (or 100ml) 1,Original Price 1,Price Promoted 1,Price Promoted Price 1,Multi Buy Special 1,Multi Buy Special Details 1,Multi Buy Price 1,UID 1,Date of data Extraction 2,Brand 2,Product name 2,Category 2,Pack size 2,Serving size 2,Servings per pack 2,Product code 2,Energy per 100g (or 100ml) 2,Protein per 100g (or 100ml) 2,Total fat per 100g (or 100ml) 2,Saturated fat per 100g (or 100ml) 2,Carbohydrate per 100g (or 100ml) 2,Sugars per 100g (or 100ml) 2,Sodium per 100g (or 100ml) 2,Original Price 2,Price Promoted 2,Price Promoted Price 2,Multi Buy Special 2,Multi Buy Special Details 2,Multi Buy Price 2,UID 2
2018-08-15 06:09:54 UTC,Absolut,Vodka,Liquor,700mL,,,33039P,,,,,,,,46,TRUE,40,FALSE,,,1534277394.0-C-46,2018-08-15 06:09:37 UTC,absolut,Absolut Vodka ,Liquor,700ml,Ml,,,,,,,,,,49,TRUE,40,FALSE,,,1534277377.0-W-75
2018-08-15 06:09:54 UTC,ABC,Sweet Soy Sauce,Pantry,275mL,,,9756108P,,,,,,,,2,FALSE,2,FALSE,,,1534277394.0-C-35,2018-08-15 09:09:40 UTC,abc,Abc Sweet Soy Sauce,Pantry,275ml,15mL (1 tbsp),18,,1850kJ,1.9g,0.6g,0.4g,103.9g,79.0g,2220mg,2,FALSE,2,FALSE,,,1534288180.0-W-59
2018-08-15 06:10:05 UTC,ABC,Original Chilli Sauce,Pantry,335mL,,,5422202P,,,,,,,,2.8,FALSE,2.8,FALSE,,,1534277405.0-C-38,2018-08-15 09:09:39 UTC,abc,Abc Chilli Sauce ,Pantry,335ml,Ml,,,,,,,,,,2,FALSE,2,FALSE,,,1534288179.0-W-58
2018-08-15 06:09:45 UTC,Allen's,Frog Family,Pantry,170g,100,8,3035635P,,4.8g,1g,1g,81.2g,42g,105mg,3,TRUE,1.5,FALSE,,,1534277385.0-C-106,2018-08-15 07:50:08 UTC,allen's,Allen's Frog Family,Pantry,170g,g,,,,,,,,,,3,TRUE,2,FALSE,,,1534283408.0-W-158
2018-08-15 06:09:44 UTC,A2,Full Cream Milk Powder,Drinks,1kg,,,2412654P,,,,,,,,14,FALSE,14,FALSE,,,1534277384.0-C-18,2018-08-15 06:29:40 UTC,a2,A2 Full Cream Milk Powder ,Drinks,1kg,kg,,,,,,,,,,14,FALSE,14,FALSE,,,1534278580.0-W-39
2018-08-15 06:09:54 UTC,Absolut,Vodka,Liquor,700mL,,,33039P,,,,,,,,46,TRUE,40,FALSE,,,1534277394.0-C-46,2018-08-15 06:09:37 UTC,absolut,Absolut Vodka ,Liquor,700ml,Ml,,,,,,,,,,49,TRUE,40,FALSE,,,1534277377.0-W-75
2018-08-15 06:09:54 UTC,ABC,Sweet Soy Sauce,Pantry,275mL,,,9756108P,,,,,,,,2,FALSE,2,FALSE,,,1534277394.0-C-35,2018-08-15 09:09:40 UTC,abc,Abc Sweet Soy Sauce,Pantry,275ml,15mL (1 tbsp),18,,1850kJ,1.9g,0.6g,0.4g,103.9g,79.0g,2220mg,2,FALSE,2,FALSE,,,1534288180.0-W-59
2018-08-15 06:10:05 UTC,ABC,Original Chilli Sauce,Pantry,335mL,,,5422202P,,,,,,,,2.8,FALSE,2.8,FALSE,,,1534277405.0-C-38,2018-08-15 09:09:39 UTC,abc,Abc Chilli Sauce ,Pantry,335ml,Ml,,,,,,,,,,2,FALSE,2,FALSE,,,1534288179.0-W-58
2018-08-15 06:09:45 UTC,Allen's,Frog Family,Pantry,170g,100,8,3035635P,,4.8g,1g,1g,81.2g,42g,105mg,3,TRUE,1.5,FALSE,,,1534277385.0-C-106,2018-08-15 07:50:08 UTC,allen's,Allen's Frog Family,Pantry,170g,g,,,,,,,,,,3,TRUE,2,FALSE,,,1534283408.0-W-158
2018-08-15 06:09:44 UTC,A2,Full Cream Milk Powder,Drinks,1kg,,,2412654P,,,,,,,,14,FALSE,14,FALSE,,,1534277384.0-C-18,2018-08-15 06:29:40 UTC,a2,A2 Full Cream Milk Powder ,Drinks,1kg,kg,,,,,,,,,,14,FALSE,14,FALSE,,,1534278580.0-W-39
